id,Title,Authors,Source Title,Year,exclude,reason,lat,lon,elevation,city,country,human.population,human.density,GI type,GI.control,ecological.measure,intentional.species,intentional.abd,abiotic.measure,distance.greenspace,site.number,area,perimeter,height
133,Producing nature for public: Land-based urbanization and provision of public green spaces in China,"Chen, Wendy Y.; Hu, Fox Zhi Yong",APPLIED GEOGRAPHY,2015,,,,,,,,,,,,,,,,,,,,
134,ASSESSMENT OF THE GREEN INFRASTRUCTURE OF BUCHAREST USING CORINE AND URBAN ATLAS DATA,"Petrisor, Alexandru-Ionut",URBANISM ARCHITECTURE CONSTRUCTIONS,2015,,,,,,,,,,,,,,,,,,,,
135,Urban and agricultural soils: conflicts and trade-offs in the optimization of ecosystem services,"Setala, H.; Bardgett, R. D.; Birkhofer, K.; Brady, M.; Byrne, L.; de Ruiter, P. C.; de Vries, F. T.; Gardi, C.; Hedlund, K.; Hemerik, L.; Hotes, S.; Liiri, M.; Mortimer, S. R.; Pavao-Zuckerman, M.; Pouyat, R.; Tsiafouli, M.; van der Putten, W. H.",URBAN ECOSYSTEMS,2014,,,,,,,,,,,,,,,,,,,,
136,Urban Grassland Restoration: A Neglected Opportunity for Biodiversity Conservation,"Klaus, Valentin H.",RESTORATION ECOLOGY,2013,,,,,,,,,,,,,,,,,,,,
137,Water-sensitive urban design: opportunities for the UK,"Ashley, Richard; Lundy, Lian; Ward, Sarah; Shaffer, Paul; Walker, Louise; Morgan, Celeste; Saul, Adrian; Wong, Tony; Moore, Sarah",PROCEEDINGS OF THE INSTITUTION OF CIVIL ENGINEERS-MUNICIPAL ENGINEER,2013,,,,,,,,,,,,,,,,,,,,
138,Spatial planning for multifunctional green infrastructure: Growing resilience in Detroit,"Meerow, Sara; Newell, Joshua P.",LANDSCAPE AND URBAN PLANNING,2017,,,,,,,,,,,,,,,,,,,,
139,Renaturing cities using a regionally-focused biodiversity-led multifunctional benefits approach to urban green infrastructure,"Connop, Stuart; Vandergert, Paula; Eisenberg, Bernd; Collier, Marcus J.; Nash, Caroline; Clough, Jack; Newport, Darryl",ENVIRONMENTAL SCIENCE & POLICY,2016,,,,,,,,,,,,,,,,,,,,
140,The impact of greenspace size on the extent of local nocturnal air temperature cooling in London,"Monteiro, Madalena Vaz; Doick, Kieron J.; Handley, Phillip; Peace, Andrew",URBAN FORESTRY & URBAN GREENING,2016,,,,,,,,,,,,,,,,,,,,
141,Historical influences on the current provision of multiple ecosystem services,"Dallimer, Martin; Davies, Zoe G.; Diaz-Porras, Daniel F.; Irvine, Katherine N.; Maltby, Lorraine; Warren, Philip H.; Armsworth, Paul R.; Gaston, Kevin J.",GLOBAL ENVIRONMENTAL CHANGE-HUMAN AND POLICY DIMENSIONS,2015,,,,,,,,,,,,,,,,,,,,
142,Understanding and addressing business needs and sustainability challenges: lessons from Devens eco-industrial park,"Veleva, Vesela; Todorova, Svetlana; Lowitt, Peter; Angus, Neil; Neely, Dona",JOURNAL OF CLEANER PRODUCTION,2015,,,,,,,,,,,,,,,,,,,,
143,How can residents' experiences inform planning of urban green infrastructure? Case Finland,"Faehnle, Maija; Backlund, Pia; Tyrvainen, Liisa; Niemela, Jari; Yli-Pelkonen, Vesa",LANDSCAPE AND URBAN PLANNING,2014,,,,,,,,,,,,,,,,,,,,
144,Urban morphological determinants of temperature regulating ecosystem services in two African cities,"Cavan, Gina; Lindley, Sarah; Jalayer, Fatemeh; Yeshitela, Kumelachew; Pauleit, Stephan; Renner, Florian; Gill, Susannah; Capuano, Paolo; Nebebe, Alemu; Woldegerima, Tekle; Kibassa, Deusdedit; Shemdoe, Riziki",ECOLOGICAL INDICATORS,2014,,,,,,,,,,,,,,,,,,,,
145,Delhi revisited,"Ahmad, Sohail; Balaban, Osman; Doll, Christopher N. H.; Dreyfus, Magali",CITIES,2013,,,,,,,,,,,,,,,,,,,,
146,Sequestering zinc from recycled crumb rubber in extensive green roof media,"Solano, Lorelly; Ristvey, Andrew G.; Lea-Cox, John D.; Cohan, Steven M.",ECOLOGICAL ENGINEERING,2012,,,,,,,,,,,,,,,,,,,,
147,Predicting the continuum between corridors and barriers to animal movements using Step Selection Functions and Randomized Shortest Paths,"Panzacchi, Manuela; Van Moorter, Bram; Strand, Olav; Saerens, Marco; Ki, Ilkka Kivima; St Clair, Colleen C.; Herfindal, Ivar; Boitani, Luigi",JOURNAL OF ANIMAL ECOLOGY,2016,,,,,,,,,,,,,,,,,,,,
148,"Bottom-up thinking Identifying socio-cultural values of ecosystem services in local blue-green infrastructure planning in Helsinki, Finland","Kati, Vierikko; Jari, Niemela",LAND USE POLICY,2016,,,,,,,,,,,,,,,,,,,,
149,"iSAW: Integrating Structure, Actors, and Water to study socio-hydro-ecological systems","Hale, Rebecca L.; Armstrong, Andrea; Baker, Michelle A.; Bedingfield, Sean; Betts, David; Buahin, Caleb; Buchert, Martin; Crowl, Todd; Dupont, R. Ryan; Ehleringer, James R.; Endter-Wada, Joanna; Flint, Courtney; Grant, Jacqualine; Hinners, Sarah; Horsburgh, Jeffery S.; Jackson-Smith, Douglas; Jones, Amber S.; Licon, Carlos; Null, Sarah E.; Odame, Augustina; Pataki, Diane E.; Rosenberg, David; Runburg, Madlyn; Stoker, Philip; Strong, Courtenay",EARTHS FUTURE,2015,,,,,,,,,,,,,,,,,,,,
150,"Assessing urban vacant land ecosystem services: Urban vacant land as green infrastructure in the City of Roanoke, Virginia","Kim, Gunwoo; Miller, Patrick A.; Nowak, David J.",URBAN FORESTRY & URBAN GREENING,2015,,,,,,,,,,,,,,,,,,,,
151,Perceptions of recreational trail impacts on an urban forest walk: A controlled field experiment,"Verlic, Andrej; Arnberger, Arne; Japelj, Anze; Simoncic, Primoz; Pirnat, Janez",URBAN FORESTRY & URBAN GREENING,2015,,,,,,,,,,,,,,,,,,,,
152,Green infrastructure and planning policy: a critical assessment,"Lennon, Mick",LOCAL ENVIRONMENT,2015,,,,,,,,,,,,,,,,,,,,
153,Impact evaluation of green-grey infrastructure interaction on built-space integrity: An emerging perspective to urban ecosystem service,"Tiwary, Abhishek; Kumar, Prashant",SCIENCE OF THE TOTAL ENVIRONMENT,2014,,,,,,,,,,,,,,,,,,,,
154,"Comparing street tree assemblages and associated stormwater benefits among communities in metropolitan Cincinnati, Ohio, USA","Berland, Adam; Hopton, Matthew E.",URBAN FORESTRY & URBAN GREENING,2014,,,,,,,,,,,,,,,,,,,,
155,Mainstreaming urban ecosystem services: A national survey of municipal foresters,"Young, Robert F.",URBAN ECOSYSTEMS,2013,,,,,,,,,,,,,,,,,,,,
156,The multi-use in wind farm projects: more conflicts or a win-win opportunity?,"Lacroix, Denis; Pioch, Sylvain",AQUATIC LIVING RESOURCES,2011,,,,,,,,,,,,,,,,,,,,
157,Utilising green and bluespace to mitigate urban heat island intensity,"Gunawardena, K. R.; Wells, M. J.; Kershaw, T.",SCIENCE OF THE TOTAL ENVIRONMENT,2017,,,,,,,,,,,,,,,,,,,,
158,Greening Chinese chemical industrial park by implementing industrial ecology strategies: A case study,"Yune, Jeremy H.; Tian, Jinping; Liu, Wei; Chen, Lujun; Descamps-Large, Cathy",RESOURCES CONSERVATION AND RECYCLING,2016,,,,,,,,,,,,,,,,,,,,
159,Environmental drivers of seasonal variation in green roof runoff water quality,"Buffam, Ishi; Mitchell, Mark E.; Durtsche, Richard D.",ECOLOGICAL ENGINEERING,2016,,,,,,,,,,,,,,,,,,,,
160,"Optimal selection and placement of green infrastructure to reduce impacts of land use change and climate change on hydrology and water quality: An application to the Trail Creek Watershed, Indiana","Liu, Yaoze; Theller, Lawrence O.; Pijanowski, Bryan C.; Engel, Bernard A.",SCIENCE OF THE TOTAL ENVIRONMENT,2016,,,,,,,,,,,,,,,,,,,,
161,Evaluating green infrastructure in urban environments using a multi-taxa and functional diversity approach,"Pinho, Pedro; Correia, Otilia; Lecoq, Miguel; Munzi, Silvana; Vasconcelos, Sasha; Goncalves, Paula; Rebelo, Rui; Antunes, Cristina; Silva, Patricia; Freitas, Catarina; Lopes, Nuno; Santos-Reis, Margarida; Branquinho, Cristina",ENVIRONMENTAL RESEARCH,2016,,,,,,,,,,,,,,,,,,,,
162,"Socio-spatial differentiation in the Sustainable City: A mixed-methods assessment of residential gardens in metropolitan Portland, Oregon, USA","McClintock, Nathan; Mahmoudi, Dillon; Simpson, Michael; Santos, Jacinto Pereira",LANDSCAPE AND URBAN PLANNING,2016,,,,,,,,,,,,,,,,,,,,
163,"Potential roles of past, present, and future urbanization characteristics in producing varied stream responses","Parr, Thomas B.; Smucker, Nathan J.; Bentsen, Catherine N.; Neale, Martin W.",FRESHWATER SCIENCE,2016,,,,,,,,,,,,,,,,,,,,
