id,Title,Authors,Source.Title,Publication.Year,Volume,Issue,Beginning.Page,Ending.Page,DOI,Total.Citations
22,Valuing green infrastructure in an urban environment under pressure - The Johannesburg case,"Schaeffler, Alexis; Swilling, Mark",ECOLOGICAL ECONOMICS,2013,86,,246,257,10.1016/j.ecolecon.2012.05.008,63
23,Integrating sciences to sustain urban ecosystem services,"Lundy, L.; Wade, R.",PROGRESS IN PHYSICAL GEOGRAPHY,2011,35,5,653,669,10.1177/0309133311422464,63
24,SIMULATION OF COMBINED BEST MANAGEMENT PRACTICES AND LOW IMPACT DEVELOPMENT FOR SUSTAINABLE STORMWATER MANAGEMENT,"Damodaram, Chandana; Giacomoni, Marcio H.; Khedun, C. Prakash; Holmes, Hillary; Ryan, Andrea; Saour, William; Zechman, Emily M.",JOURNAL OF THE AMERICAN WATER RESOURCES ASSOCIATION,2010,46,5,907,918,10.1111/j.1752-1688.2010.00462.x,58
25,A national assessment of green infrastructure and change for the conterminous United States using morphological image processing,"Wickham, James D.; Riitters, Kurt H.; Wade, Timothy G.; Vogt, Peter",LANDSCAPE AND URBAN PLANNING,2010,94,04-Mar,186,195,10.1016/j.landurbplan.2009.10.003,57
26,Perceptions of parks and urban derelict land by landscape planners and residents,"Hofmann, Mathias; Westermann, Janneke R.; Kowarik, Ingo; van der Meer, Elke",URBAN FORESTRY & URBAN GREENING,2012,11,3,303,312,10.1016/j.ufug.2012.04.001,56
27,Conserving urban biodiversity? Creating green infrastructure is only the first step,"Hostetler, Mark; Allen, Will; Meurk, Colin",LANDSCAPE AND URBAN PLANNING,2011,100,4,369,371,10.1016/j.landurbplan.2011.01.011,55
28,Anthropogenic Disturbance Can Determine the Magnitude of Opportunistic Species Responses on Marine Urban Infrastructures,"Airoldi, Laura; Bulleri, Fabio",PLOS ONE,2011,6,8,,,10.1371/journal.pone.0022985,53
29,The use of economic valuation to create public support for green infrastructure investments in urban areas,"Vandermeulen, Valerie; Verspecht, Ann; Vermeire, Bert; Van Huylenbroeck, Guido; Gellynck, Xavier",LANDSCAPE AND URBAN PLANNING,2011,103,2,198,206,10.1016/j.landurbplan.2011.07.010,52
30,Reconceptualizing green infrastructure for climate change adaptation: Barriers to adoption and drivers for uptake by spatial planners,"Matthews, Tony; Lo, Alex Y.; Byrne, Jason A.",LANDSCAPE AND URBAN PLANNING,2015,138,,155,163,10.1016/j.landurbplan.2015.02.010,51
31,Shades of Green: Measuring the Ecology of Urban Green Space in the Context of Human Health and Well-Being,"Jorgensen, Anna; Gobster, Paul H.",NATURE + CULTURE,2010,5,3,338,363,10.3167/nc.2010.050307,49
32,Urban Ecology of Shrinking Cities: An Unrecognized Opportunity?,"Haase, Dagmar",NATURE + CULTURE,2008,3,1,1,8,10.3167/nc.2008.030101,49
33,Benefits of restoring ecosystem services in urban areas,"Elmqvist, T.; Setala, H.; Handel, S. N.; van der Ploeg, S.; Aronson, J.; Blignaut, J. N.; Gomez-Baggethun, E.; Nowak, D. J.; Kronenberg, J.; de Groot, R.",CURRENT OPINION IN ENVIRONMENTAL SUSTAINABILITY,2015,14,,101,108,10.1016/j.cosust.2015.05.001,48
34,Life cycle implications of urban green infrastructure,"Spatari, Sabrina; Yu, Ziwen; Montalto, Franco A.",ENVIRONMENTAL POLLUTION,2011,159,09-Aug,2174,2179,10.1016/j.envpol.2011.01.015,46
35,"Exploring ecosystem-based adaptation in Durban, South Africa: learning-by-doing at the local government coal face","Roberts, Debra; Boon, Richard; Diederichs, Nicci; Douwes, Errol; Govender, Natasha; McInnes, Alistair; McLean, Cameron; O'Donoghue, Sean; Spires, Meggan",ENVIRONMENT AND URBANIZATION,2012,24,1,167,195,10.1177/0956247811431412,44
36,Protecting Forest Areas for Biodiversity in Sweden 1991-2010: the Policy Implementation Process and Outcomes on the Ground,"Angelstam, Per; Andersson, Kjell; Axelsson, Robert; Elbakidze, Marine; Jonsson, Bengt Gunnar; Roberge, Jean-Michel",SILVA FENNICA,2011,45,5,1111,1133,10.14214/sf.90,43
37,Advancing Urban Ecology toward a Science of Cities,"McPhearson, Timon; Pickett, Steward T. A.; Grimm, Nancy B.; Niemela, Jari; Alberti, Marina; Elmqvist, Thomas; Weber, Christiane; Haase, Dagmar; Breuste, Juergen; Qureshi, Salman",BIOSCIENCE,2016,66,3,198,212,10.1093/biosci/biw002,42
38,Civic ecology practices: Participatory approaches to generating and measuring ecosystem services in cities,"Krasny, Marianne E.; Russ, Alex; Tidball, Keith G.; Elmqvist, Thomas",ECOSYSTEM SERVICES,2014,7,,177,186,10.1016/j.ecoser.2013.11.002,42
39,Green roofs as habitats for wild plant species in urban landscapes: First insights from a large-scale sampling,"Madre, Frederic; Vergnes, Alan; Machon, Nathalie; Clergeau, Philippe",LANDSCAPE AND URBAN PLANNING,2014,122,,100,107,10.1016/j.landurbplan.2013.11.012,42
40,"Exploring the production capacity of rooftop gardens (RTGs) in urban agriculture: the potential impact on food and nutrition security, biodiversity and other ecosystem services in the city of Bologna","Orsini, Francesco; Gasperi, Daniela; Marchetti, Livia; Piovene, Chiara; Draghetti, Stefano; Ramazzotti, Solange; Bazzocchi, Giovanni; Gianquinto, Giorgio",FOOD SECURITY,2014,6,6,781,792,10.1007/s12571-014-0389-6,41
41,Do green roofs help urban biodiversity conservation?,"Williams, Nicholas S. G.; Lundholm, Jeremy; MacIvor, J. Scott",JOURNAL OF APPLIED ECOLOGY,2014,51,6,1643,1649,10.1111/1365-2664.12333,40
42,A social-ecological assessment of vacant lots in New York City,"Kremer, Peleg; Hamstead, Zoe A.; McPhearson, Timon",LANDSCAPE AND URBAN PLANNING,2013,120,,218,233,10.1016/j.landurbplan.2013.05.003,39
43,Multifunctionality of floodplain landscapes: relating management options to ecosystem services,"Schindler, Stefan; Sebesvari, Zita; Damm, Christian; Euller, Katrin; Mauerhofer, Volker; Schneidergruber, Anna; Biro, Marianna; Essl, Franz; Kanka, Robert; Lauwaars, Sophie G.; Schulz-Zunkel, Christiane; van der Sluis, Theo; Kropik, Michaela; Gasso, Viktor; Krug, Andreas; Pusch, Martin T.; Zulka, Klaus Peter; Lazowski, Werner; Hainz-Renetzeder, Christa; Henle, Klaus; Wrbka, Thomas",LANDSCAPE ECOLOGY,2014,29,2,229,244,10.1007/s10980-014-9989-y,38
44,Transitioning to resilience and sustainability in urban communities,"Collier, Marcus J.; Nedovic-Budic, Zorica; Aerts, Jeroen; Connop, Stuart; Foley, Dermot; Foley, Karen; Newport, Darryl; McQuaid, Siobhan; Slaev, Aleksander; Verburg, Peter",CITIES,2013,32,,S21,S28,10.1016/j.cities.2013.03.010,38
45,Planting the Living City Best Practices in Planning Green Infrastructure-Results From Major U.S. Cities,"Young, Robert F.",JOURNAL OF THE AMERICAN PLANNING ASSOCIATION,2011,77,4,368,381,10.1080/01944363.2011.616996,38
46,"Land use change and causes in the Xiangxi catchment, Three Gorges Area derived from multispectral data","Seeber, Christoph; Hartmann, Heike; Wei, Xiang; King, Lorenz",JOURNAL OF EARTH SCIENCE,2010,21,6,846,855,10.1007/s12583-010-0136-7,38
47,"Urban vacancy and land use legacies: A frontier for urban ecological research, design, and planning","Nassauer, Joan Iverson; Raskin, Julia",LANDSCAPE AND URBAN PLANNING,2014,125,,245,253,10.1016/j.landurbplan.2013.10.008,37
48,Governing metropolitan green infrastructure in the United States,"Young, Robert F.; McPherson, E. Gregory",LANDSCAPE AND URBAN PLANNING,2013,109,1,67,75,10.1016/j.landurbplan.2012.09.004,36
49,"Nature, urban development and sustainability - What new elements are needed for a more comprehensive understanding?","Pincetl, Stephanie",CITIES,2012,29,,S32,S37,10.1016/j.cities.2012.06.009,36
50,Can satellite-based night lights be used for conservation? The case of nesting sea turtles in the Mediterranean,"Mazor, Tessa; Levin, Noam; Possingham, Hugh P.; Levy, Yaniv; Rocchini, Duccio; Richardson, Anthony J.; Kark, Salit",BIOLOGICAL CONSERVATION,2013,159,,63,72,10.1016/j.biocon.2012.11.004,35
51,Modelling the spatial distribution of linear landscape elements in Europe,"van der Zanden, Emma H.; Verburg, Peter H.; Mucher, Caspar A.",ECOLOGICAL INDICATORS,2013,27,,125,136,10.1016/j.ecolind.2012.12.002,34
52,Producing edible landscapes in Seattle's urban forest,"McLain, Rebecca; Poe, Melissa; Hurley, Patrick T.; Lecompte-Mastenbrook, Joyce; Emery, Marla R.",URBAN FORESTRY & URBAN GREENING,2012,11,2,187,194,10.1016/j.ufug.2011.12.002,34
53,The alignment of agricultural and nature conservation policies in the European Union,"Hodge, Ian; Hauck, Jennifer; Bonn, Aletta",CONSERVATION BIOLOGY,2015,29,4,996,1005,10.1111/cobi.12531,33
54,Using expert knowledge in combining green infrastructure and ecosystem services in land use planning: an insight into a new place-based methodology,"Kopperoinen, Leena; Itkonen, Pekka; Niemela, Jari",LANDSCAPE ECOLOGY,2014,29,8,1361,1375,10.1007/s10980-014-0014-2,33
55,Perspectives on the Use of Green Infrastructure for Stormwater Management in Cleveland and Milwaukee,"Keeley, Melissa; Koburger, Althea; Dolowitz, David P.; Medearis, Dale; Nickel, Darla; Shuster, William",ENVIRONMENTAL MANAGEMENT,2013,51,6,1093,1108,10.1007/s00267-013-0032-x,33
56,Natural forest expansion into suburban countryside: Gained ground for a green infrastructure?,"Barbati, Anna; Corona, Piermaria; Salvati, Luca; Gasparella, Lorenza",URBAN FORESTRY & URBAN GREENING,2013,12,1,36,43,10.1016/j.ufug.2012.11.002,33
57,Water security: Gray or green?,"Palmer, Margaret A.; Liu, Junguo; Matthews, John H.; Mumba, Musonda; D'Odorico, Paolo",SCIENCE,2015,349,6248,584,585,10.1126/science.aac7778,32
58,Outstanding challenges for urban conservation research and action,"Shwartz, Assaf; Turbe, Anne; Julliard, Romain; Simon, Laurent; Prevot, Anne-Caroline",GLOBAL ENVIRONMENTAL CHANGE-HUMAN AND POLICY DIMENSIONS,2014,28,,39,49,10.1016/j.gloenvcha.2014.06.002,32
59,Mismatches between ecosystem services supply and demand in urban areas: A quantitative assessment in five European cities,"Baro, Francesc; Haase, Dagmar; Gomez-Baggethun, Erik; Frantzeskaki, Niki",ECOLOGICAL INDICATORS,2015,55,,146,158,10.1016/j.ecolind.2015.03.013,31
60,Ecosystem services of urban green spaces in African countries-perspectives and challenges,"Cilliers, Sarel; Cilliers, Juanee; Lubbe, Rina; Siebert, Stefan",URBAN ECOSYSTEMS,2013,16,4,681,702,10.1007/s11252-012-0254-3,31
61,Challenges and future directions in urban afforestation,"Oldfield, Emily E.; Warren, Robert J.; Felson, Alexander J.; Bradford, Mark A.",JOURNAL OF APPLIED ECOLOGY,2013,50,5,1169,1177,10.1111/1365-2664.12124,30
62,Local levers for change: Mainstreaming ecosystem-based adaptation into municipal planning to foster sustainability transitions,"Wamsler, Christine; Luederitz, Christopher; Brink, Ebba",GLOBAL ENVIRONMENTAL CHANGE-HUMAN AND POLICY DIMENSIONS,2014,29,,189,201,10.1016/j.gloenvcha.2014.09.008,29
63,Using Life Cycle Assessment to Evaluate Green and Grey Combined Sewer Overflow Control Strategies,"De Sousa, Maria R. C.; Montalto, Franco A.; Spatari, Sabrina",JOURNAL OF INDUSTRIAL ECOLOGY,2012,16,6,901,913,10.1111/j.1530-9290.2012.00534.x,29
64,Cultural ecosystem services as a gateway for improving urban sustainability,"Andersson, Erik; Tengo, Maria; McPhearson, Timon; Kremer, Peleg",ECOSYSTEM SERVICES,2015,12,,165,168,10.1016/j.ecoser.2014.08.002,28
65,More green infrastructure is required to maintain ecosystem services under current trends in land-use change in Europe,"Maes, Joachim; Barbosa, Ana; Baranzelli, Claudia; Zulian, Grazia; Batista e Silva, Filipe; Vandecasteele, Ine; Hiederer, Roland; Liquete, Camino; Paracchini, Maria Luisa; Mubareka, Sarah; Jacobs-Crisioni, Chris; Castillo, Carolina Perpina; Lavalle, Carlo",LANDSCAPE ECOLOGY,2015,30,3,517,534,10.1007/s10980-014-0083-2,28
66,Agriculture and the city: A method for sustainable planning of new forms of agriculture in urban contexts,"La Rosa, Daniele; Barbarossa, Luca; Privitera, Riccardo; Martinico, Francesco",LAND USE POLICY,2014,41,,290,303,10.1016/j.landusepol.2014.06.014,28
67,Residential demolition and its impact on vacant lot hydrology: Implications for the management of stormwater and sewer system overflows,"Shuster, W. D.; Dadio, S.; Drohan, P.; Losco, R.; Shaffer, J.",LANDSCAPE AND URBAN PLANNING,2014,125,,48,56,10.1016/j.landurbplan.2014.02.003,28
68,Negotiating value and priorities: evaluating the demands of green infrastructure development,"Roe, Maggie; Mell, Ian",JOURNAL OF ENVIRONMENTAL PLANNING AND MANAGEMENT,2013,56,5,650,673,10.1080/09640568.2012.693454,28
69,Spatial contagion: Gardening along the street in residential neighborhoods,"Hunter, Mary Carol R.; Brown, Daniel G.",LANDSCAPE AND URBAN PLANNING,2012,105,4,407,416,10.1016/j.landurbplan.2012.01.013,28
70,Assessing Equitable Access to Urban Green Space: The Role of Engineered Water Infrastructure,"Wendel, Heather E. Wright; Downs, Joni A.; Mihelcic, James R.",ENVIRONMENTAL SCIENCE & TECHNOLOGY,2011,45,16,6728,6734,10.1021/es103949f,28
71,Green structure and planning evolution in Porto,"Madureira, Helena; Andresen, Teresa; Monteiro, Ana",URBAN FORESTRY & URBAN GREENING,2011,10,2,141,149,10.1016/j.ufug.2010.12.004,28
72,Assessing climate-adaptation effect of extensive tropical green roofs in cities,"Jim, C. Y.",LANDSCAPE AND URBAN PLANNING,2015,138,,54,70,10.1016/j.landurbplan.2015.02.014,27
73,"Greening the urban frontier: Race, property, and resettlement in Detroit","Safransky, Sara",GEOFORUM,2014,56,,237,248,10.1016/j.geoforum.2014.06.003,27
74,"Sinners, scapegoats or fashion victims? Understanding the deaths of trees in the green city","Kirkpatrick, James B.; Davison, Aidan; Daniels, Grant D.",GEOFORUM,2013,48,,165,176,10.1016/j.geoforum.2013.04.018,27
75,"Solving Problems in Social-Ecological Systems: Definition, Practice and Barriers of Transdisciplinary Research","Angelstam, Per; Andersson, Kjell; Annerstedt, Matilda; Axelsson, Robert; Elbakidze, Marine; Garrido, Pablo; Grahn, Patrik; Jonsson, K. Ingemar; Pedersen, Simen; Schlyter, Peter; Skarback, Erik; Smith, Mike; Stjernquist, Ingrid",AMBIO,2013,42,2,254,265,10.1007/s13280-012-0372-4,27
76,Characterization of non-urbanized areas for land-use planning of agricultural and green infrastructure in urban contexts,"La Rosa, Daniele; Privitera, Riccardo",LANDSCAPE AND URBAN PLANNING,2013,109,1,94,106,10.1016/j.landurbplan.2012.05.012,27
77,"Peoples' use of, and concerns about, green space networks: A case study of Birchwood, Warrington New Town, UK","Tzoulas, Konstantinos; James, Philip",URBAN FORESTRY & URBAN GREENING,2010,9,2,121,128,10.1016/j.ufug.2009.12.001,27
78,"Mitigating the Water Footprint of Export Cut Flowers from the Lake Naivasha Basin, Kenya","Mekonnen, M. M.; Hoekstra, A. Y.; Becht, R.",WATER RESOURCES MANAGEMENT,2012,26,13,3725,3742,10.1007/s11269-012-0099-9,26
79,Design for the next generation incorporating cradle-to-cradle design into Herman Miller products,"Rossi, Mark; Charon, Scott; Wing, Gabe; Ewell, James",JOURNAL OF INDUSTRIAL ECOLOGY,2006,10,4,193,210,10.1162/jiec.2006.10.4.193,26
80,Identifying priority sites for low impact development (LID) in a mixed-use watershed,"Martin-Mikle, Chelsea J.; de Beurs, Kirsten M.; Julian, Jason P.; Mayer, Paul M.",LANDSCAPE AND URBAN PLANNING,2015,140,,29,41,10.1016/j.landurbplan.2015.04.002,25
81,Economic Feasibility of Recycling Photovoltaic Modules,"Choi, Jun-Ki; Fthenakis, Vasilis",JOURNAL OF INDUSTRIAL ECOLOGY,2010,14,6,947,964,10.1111/j.1530-9290.2010.00289.x,25
82,Susceptibility of non-indigenous ascidian species in British Columbia (Canada) to invertebrate predation,"Epelbaum, A.; Pearce, C. M.; Barker, D. J.; Paulson, A.; Therriault, T. W.",MARINE BIOLOGY,2009,156,6,1311,1320,10.1007/s00227-009-1172-7,25
83,Mapping green infrastructure based on ecosystem services and ecological networks: A Pan-European case study,"Liquete, Camino; Kleeschulte, Stefan; Dige, Gorm; Maes, Joachim; Grizzetti, Bruna; Olah, Branislav; Zulian, Grazia",ENVIRONMENTAL SCIENCE & POLICY,2015,54,,268,280,10.1016/j.envsci.2015.07.009,24
84,Freshwater ecosystem services supporting humans: Pivoting from water crisis to water solutions,"Green, Pamela A.; Voeroesmarty, Charles J.; Harrison, Ian; Farrell, Tracy; Saenz, Leonard; Fekete, Balazs M.",GLOBAL ENVIRONMENTAL CHANGE-HUMAN AND POLICY DIMENSIONS,2015,34,,108,118,10.1016/j.gloenvcha.2015.06.007,24
85,Exploring biodiversity in a metropolitan area in the Mediterranean region: The urban and suburban flora of Rome (Italy),"Capotorti, G.; Del Vico, E.; Lattanzi, E.; Tilia, A.; Celesti-Grapow, L.",PLANT BIOSYSTEMS,2013,147,1,174,185,10.1080/11263504.2013.771715,24
86,Green infrastructures and intensive forestry: Need and opportunity for spatial planning in a Swedish rural-urban gradient,"Andersson, Kjell; Angelstam, Per; Elbakidze, Marine; Axelsson, Robert; Degerman, Erik",SCANDINAVIAN JOURNAL OF FOREST RESEARCH,2013,28,2,143,165,10.1080/02827581.2012.723740,24
87,Agricultural and green infrastructures: The role of non-urbanised areas for eco-sustainable planning in a metropolitan region,"La Greca, Paolo; La Rosa, Daniele; Martinico, Francesco; Privitera, Riccardo",ENVIRONMENTAL POLLUTION,2011,159,09-Aug,2193,2202,10.1016/j.envpol.2010.11.017,24
88,Urban wildscapes and green spaces in Mombasa and their potential contribution to climate change adaptation and mitigation,"Kithiia, Justus; Lyth, Anna",ENVIRONMENT AND URBANIZATION,2011,23,1,251,265,10.1177/0956247810396054,24
89,Ecosystem-based adaptation in cities: An analysis of European urban climate adaptation plans,"Geneletti, Davide; Zardo, Linda",LAND USE POLICY,2016,50,,38,47,10.1016/j.landusepol.2015.09.003,23
90,Understanding the value of urban riparian corridors: Considerations in planning for cultural services along an Indonesian river,"Vollmer, Derek; Prescott, Michaela F.; Padawangi, Rita; Girot, Christophe; Gret-Regamey, Adrienne",LANDSCAPE AND URBAN PLANNING,2015,138,,144,154,10.1016/j.landurbplan.2015.02.011,23
91,Multiple benefits and values of trees in urban landscapes in two towns in northern South Africa,"Shackleton, Sheona; Chinyimba, Abby; Hebinck, Paul; Shackleton, Charlie; Kaoma, Humphrey",LANDSCAPE AND URBAN PLANNING,2015,136,,76,86,10.1016/j.landurbplan.2014.12.004,23
92,Planning support system for climate adaptation: Composing effective sets of blue-green measures to reduce urban vulnerability to extreme weather events,"Voskamp, I. M.; Van de Ven, F. H. M.",BUILDING AND ENVIRONMENT,2015,83,,159,167,10.1016/j.buildenv.2014.07.018,23
93,A comparison of the economic benefits of urban green spaces estimated with NDVI and with high-resolution land cover data,"Li, Wei; Saphores, Jean-Daniel M.; Gillespie, Thomas W.",LANDSCAPE AND URBAN PLANNING,2015,133,,105,117,10.1016/j.landurbplan.2014.09.013,23
94,Structural Diversity: A Multi-dimensional Approach to Assess Recreational Services in Urban Parks,"Voigt, Annette; Kabisch, Nadja; Wurster, Daniel; Haase, Dagmar; Breuste, Juergen",AMBIO,2014,43,4,480,491,10.1007/s13280-014-0508-9,23
95,Gray vs. green urbanization: Relative importance of urban features for urban bird communities,"MacGregor-Fors, Ian; Schondube, Jorge E.",BASIC AND APPLIED ECOLOGY,2011,12,4,372,381,10.1016/j.baae.2011.04.003,23
96,A New Approach in Measuring Rainfall Interception by Urban Trees in Coastal British Columbia,"Asadian, Yeganeh; Weiler, Markus",WATER QUALITY RESEARCH JOURNAL OF CANADA,2009,44,1,16,25,,23
97,Mainstreaming ecosystem-based adaptation: transformation toward sustainability in urban governance and planning,"Wamsler, Christine",ECOLOGY AND SOCIETY,2015,20,2,,,10.5751/ES-07489-200230,22
98,Growth of Native Aromatic Xerophytes in an Extensive Mediterranean Green Roof as Affected by Substrate Type and Depth and Irrigation Frequency,"Papafotiou, Maria; Pergialioti, Niki; Tassoula, Lamprini; Massas, Ioannis; Kargas, Georgios",HORTSCIENCE,2013,48,10,1327,1333,,22
99,The overlooked role of biotic factors in controlling the ecological performance of artificial marine habitats,"Ferrario, Filippo; Ivesa, Ljiljana; Jaklin, Andrej; Perkol-Finkel, Shimrit; Airoldi, Laura",JOURNAL OF APPLIED ECOLOGY,2016,53,1,16,24,10.1111/1365-2664.12533,21
100,Effective green equivalent-A measure of public green spaces for cities,"Yao, Liang; Liu, Jingru; Wang, Rusong; Yin, Ke; Han, Baolong",ECOLOGICAL INDICATORS,2014,47,,123,127,10.1016/j.ecolind.2014.07.009,21
101,Using green infrastructure for urban climate-proofing: An evaluation of heat mitigation measures at the micro-scale,"Zoelch, Teresa; Maderspacher, Johannes; Wamsler, Christine; Pauleit, Stephan",URBAN FORESTRY & URBAN GREENING,2016,20,,305,316,10.1016/j.ufug.2016.09.011,20
102,Urban residents' beliefs concerning green space benefits in four cities in France and Portugal,"Madureira, Helena; Nunes, Fernando; Oliveira, Jose Vidal; Cormier, Laure; Madureira, Teresa",URBAN FORESTRY & URBAN GREENING,2015,14,1,56,64,10.1016/j.ufug.2014.11.008,20
103,Rivers as municipal infrastructure: Demand for environmental services in informal settlements along an Indonesian river,"Vollmer, Derek; Gret-Regamey, Adrienne",GLOBAL ENVIRONMENTAL CHANGE-HUMAN AND POLICY DIMENSIONS,2013,23,6,1542,1555,10.1016/j.gloenvcha.2013.10.001,20
104,Decoupling factors affecting plant diversity and cover on extensive green roofs,"MacIvor, J. Scott; Margolis, Liat; Puncher, Curtis L.; Matthews, Benjamin J. Carver",JOURNAL OF ENVIRONMENTAL MANAGEMENT,2013,130,,297,305,10.1016/j.jenvman.2013.09.014,20
105,Ecological disturbances due to high cutback in the green infrastructure of Karachi: Analyses of public perception about associated health problems,"Qureshi, Salman; Kazmi, Syed Jamil Hasan; Breuste, Juergen H.",URBAN FORESTRY & URBAN GREENING,2010,9,3,187,198,10.1016/j.ufug.2009.08.003,20
