id,Title,Authors,Source Title,Publication Year,Volume,Issue,Beginning Page,Ending Page,DOI,Total Citations
1146,Sex in advertising: dioecy alters the net benefits of attractiveness in Sagittaria latifolia (Alismataceae),"Vamosi, Jana C.; Vamosi, Steven M.; Barrett, Spencer C. H.",PROCEEDINGS OF THE ROYAL SOCIETY B-BIOLOGICAL SCIENCES,2006,273,1599,2401,2407,10.1098/rspb.2006.3599,12
1147,Flower constancy of the stingless bee Trigona carbonaria Smith (Hymenoptera : Apidae : Meliponini),"White, D; Cribb, BW; Heard, TA",AUSTRALIAN JOURNAL OF ENTOMOLOGY,2001,40,,61,64,10.1046/j.1440-6055.2001.00201.x,12
1148,Breeding systems of Ardisia Sw (Myrsinaceae),"Pascarella, JB",BRITTONIA,1997,49,1,45,53,10.2307/2807693,12
1149,Listmania: The Strengths and Weaknesses of Lists of Garden Plants to Help Pollinators,"Garbuzov, Mihail; Ratnieks, Francis L. W.",BIOSCIENCE,2014,64,11,1019,1026,10.1093/biosci/biu150,11
1150,Influence of local and landscape factors on bumblebees in semi-natural meadows: a multiple-scale study in a forested landscape,"Diaz-Forero, Isabel; Kuusemets, Valdo; Maend, Marika; Liivamaegi, Ave; Kaart, Tanel; Luig, Jaan",JOURNAL OF INSECT CONSERVATION,2013,17,1,113,125,10.1007/s10841-012-9490-3,11
1151,Ant species identity mediates reproductive traits and allocation in an ant-garden bromeliad,"Leroy, Celine; Corbara, Bruno; Pelozuelo, Laurent; Carrias, Jean-Francois; Dejean, Alain; Cereghino, Regis",ANNALS OF BOTANY,2012,109,1,145,152,10.1093/aob/mcr253,11
1152,Do inefficient selfing and inbreeding depression challenge the persistence of the rare Dianthus guliae Janka (Caryophyllaceae)? Influence of reproductive traits on a plant's proneness to extinction,"Gargano, Domenico; Gullo, Teresa; Bernardo, Liliana",PLANT SPECIES BIOLOGY,2009,24,2,69,76,10.1111/j.1442-1984.2009.00239.x,11
1153,"Time-invariant differences between plant individuals in interactions with arthropods correlate with intraspecific variation in plant phenology, morphology and floral scent","Kuppler, Jonas; Hoefers, Maren K.; Wiesmann, Lisa; Junker, Robert R.",NEW PHYTOLOGIST,2016,210,4,1357,1368,10.1111/nph.13858,10
1154,"Plant Size as Determinant of Species Richness of Herbivores, Natural Enemies and Pollinators across 21 Brassicaceae Species","Schlinkert, Hella; Westphal, Catrin; Clough, Yann; Laszlo, Zoltan; Ludwig, Martin; Tscharntke, Teja",PLOS ONE,2015,10,8,,,10.1371/journal.pone.0135928,10
1155,Pollination mitigates cucumber yield gaps more than pesticide and fertilizer use in tropical smallholder gardens,"Motzke, Iris; Tscharntke, Teja; Wanger, Thomas C.; Klein, Alexandra-Maria",JOURNAL OF APPLIED ECOLOGY,2015,52,1,261,269,10.1111/1365-2664.12357,10
1156,"Bumblebees in the city: abundance, species richness and diversity in two urban habitats","Gunnarsson, Bengt; Federsel, Lisa Marie",JOURNAL OF INSECT CONSERVATION,2014,18,6,1185,1191,10.1007/s10841-014-9729-2,10
