id,Title,Authors,Source Title,Publication Year,Volume,Issue,Beginning Page,Ending Page,DOI,Total Citations
1263,Food plants and foraging distances for the native bee &ITLasioglossum sordidum&IT in Christchurch Botanic Gardens,"Bennet, Della G.; Kelly, Dave; Clemens, John",NEW ZEALAND JOURNAL OF ECOLOGY,2018,42,1,40,47,10.20417/nzjecol.42.1,0
1264,"Variability of bumblebee communities (Apidae, Bombini) in urban green areas","Micholap, Pawel; Sikora, Aneta; Kelm, Maria; Sikora, Marcin",URBAN ECOSYSTEMS,2017,20,6,1339,1345,10.1007/s11252-017-0686-x,0
1265,Patterns of pollinator turnover and increasing diversity associated with urban habitats,"Martins, Kyle T.; Gonzalez, Andrew; Lechowicz, Martin J.",URBAN ECOSYSTEMS,2017,20,6,1359,1371,10.1007/s11252-017-0688-8,0
1266,Urbanization-mediated context dependence in the effect of floral neighborhood on pollinator visitation,"Fitch, Gordon M.",OECOLOGIA,2017,185,4,713,723,10.1007/s00442-017-3982-5,0
1267,"Floral abundance, richness, and spatial distribution drive urban garden bee communities","Plascencia, M.; Philpott, S. M.",BULLETIN OF ENTOMOLOGICAL RESEARCH,2017,107,5,658,667,10.1017/S0007485317000153,0
1268,Pollination of Ficus elastica: India rubber re-establishes sexual reproduction in Singapore,"Harrison, Rhett D.; Chong, Kwek Yan; Pham, Nguyet Minh; Yee, Alex T. K.; Yeo, Chow Khoon; Tan, Hugh T. W.; Rasplus, Jean-Yves",SCIENTIFIC REPORTS,2017,7,,,,10.1038/s41598-017-09873-z,0
1269,Urbanization alters communities of flying arthropods in parks and gardens of a medium-sized city,"Lagucki, Edward; Burdine, Justin D.; McCluney, Kevin E.",PEERJ,2017,5,,,,10.7717/peerj.3620,0
1270,"A Checklist of the Bees (Hymenoptera: Apoidea) of St. Louis, Missouri, USA","Camilo, Gerardo R.; Muniz, Paige A.; Arduser, Michael S.; Spevak, Edward M.",JOURNAL OF THE KANSAS ENTOMOLOGICAL SOCIETY,2017,90,3,175,188,10.2317/0022-8567-90.3.175,0
1271,"Floral and pollination biology, breeding system and nectar traits of Callistemon citrinus (Myrtaceae) cultivated in India","Chauhan, S.; Chauhan, S. V. S.; Galetto, L.",SOUTH AFRICAN JOURNAL OF BOTANY,2017,111,,319,325,10.1016/j.sajb.2017.04.010,0
1272,"Right here, right now: Populations of Actinotus helianthi differ in their early performance traits and interactions","Emery, Nathan J.; Henwood, Murray J.; Offord, Catherine A.; Wardle, Glenda M.",AUSTRAL ECOLOGY,2017,42,3,367,378,10.1111/aec.12450,0
1273,Pollinator diversity and reproductive success of Epipactis helleborine (L.) Crantz (Orchidaceae) in anthropogenic and natural habitats,"Rewicz, Agnieszka; Jaskula, Radomir; Rewicz, Tomasz; Tonczyk, Grzegorz",PEERJ,2017,5,,,,10.7717/peerj.3159,0
1274,Bee-friendly community gardens: Impact of environmental variables on the richness and abundance of exotic and native bees,"Makinson, James C.; Threlfall, Caragh G.; Latty, Tanya",URBAN ECOSYSTEMS,2017,20,2,463,476,10.1007/s11252-016-0607-4,0
1275,Most ornamental plants on sale in garden centres are unattractive to flower-visiting insects,"Garbuzov, Mihail; Alton, Karin; Ratnieks, Francis L. W.",PEERJ,2017,5,,,,10.7717/peerj.3066,0
1276,Unusual population attributes of invasive red-eared slider turtles (Trachemys scripta elegans) in Japan: do they have a performance advantage?,"Taniguchi, Mari; Lovich, Jeffrey E.; Mine, Kanako; Ueno, Shintaro; Kamezaki, Naoki",AQUATIC INVASIONS,2017,12,1,97,108,10.3391/ai.2017.12.1.10,0
1277,Ecological and evolutionary consequences of tri-trophic interactions: Spatial variation and effects of plant density(1),"Abdala-Roberts, Luis; Parra-Tabla, Victor; Moreira, Xoaquin; Ramos-Zapata, Jose",AMERICAN JOURNAL OF BOTANY,2017,104,2,241,251,10.3732/ajb.1600358,0
1278,An Unusual Nesting Site by Leaf Cutter Bee Megachile (Aethomegachile) laticeps Smith,"Amala, U.; Shivalingaswamy, T. M.; Kumar, Veeresh",JOURNAL OF THE KANSAS ENTOMOLOGICAL SOCIETY,2017,90,1,77,81,,0
1279,Pan Trap Designs for Monitoring Pollinators and Other Beneficial Insects in Conservation Gardens(1),"Harris, B. A.; Braman, S. K.; Pennisi, S. V.",JOURNAL OF ENTOMOLOGICAL SCIENCE,2017,52,1,9,14,10.18474/JES16-13.1,0
1280,Maintenance of mixed mating after the loss of self-incompatibility in a long-lived perennial herb,"Voillemot, Marie; Pannell, John R.",ANNALS OF BOTANY,2017,119,1,177,190,10.1093/aob/mcw203,0
1281,Contrasting effects of ploidy level on seed production in a diploid-tetraploid system,"Munzbergova, Zuzana; Skuhrovec, Jiri",AOB PLANTS,2017,9,,,,10.1093/aobpla/plw077,0
1282,Seasonal and diurnal patterns of activity in honeybees (Apis spp.) on the northern edge of the Asian tropics; their implications for the climate-change resilience of pollination,"Cui, Qinglan; Corlett, Richard T.",TROPICAL CONSERVATION SCIENCE,2016,9,3,,,10.1177/1940082916667142,0
1283,Different pollinator assemblages ensure reproductive success of Cleisostoma linearilobatum (Orchidaceae) in fragmented holy hill forest and traditional tea garden,"Zhou, Xiang; Liu, Qiang; Han, Jessie Yc; Gao, JiangYun",SCIENTIFIC REPORTS,2016,6,,,,10.1038/srep21435,0
1284,"A casual alien plant new to Mediterranean Europe: Ceiba speciosa (Malvaceae) in the suburban area of Palermo (NW Sicily, Italy)","Pasta, Salvatore; La Mantia, Tommaso; Badalamenti, Emilio",ANALES DEL JARDIN BOTANICO DE MADRID,2014,71,2,E009,U21,10.3989/ajbm.2387,0
1285,Status of the preys of the Cattle Egret (Bubukus ibis L.) in the region of Chief (Algeria).,"Mohammedi, Ahmed; Doumandji, Salaheddine",REVUE D ECOLOGIE-LA TERRE ET LA VIE,2013,68,03-Apr,283,289,,0
