Sample # - this is the number of the sample collected in a trap during the time period covered in column C,Box # - this is the number on the box in which these vials of insects are contained,Date - this is the time period during which invertebrates were trapped for this sample,"ID - this is the location in the box for this vial, row A, column 1",Location - this is the location where the sample was collected (NHMU: Natural History Museum of Utah; Marr Lib: Marriot Library at the University of Utah),Roof/Ground - this is where the traps were located at each location (Ground: at ground level; roof: on the green roof),Combi/Pitfall - this is the type of trap used to collect the sample (Combi: combination trap that catches aerial invertebrate; Pitfall: pitfall trap that catches ground crawling invertebrates),Order - this is the taxonomic order of the collected invertebrates),Family - this is the taxonomic family of the invertebrates collected,Pollinator - this is whether or not the invertebrate is a known pollinator (Yes) or not (No),Amount - this is the number of each invertebrate of this morphospecies in the sample,Notes:,
79,3,6/24-7/2,B4,Marr Lib,Ground,Combi,Araneae,Spider,No,15,Assorted Spiders,
80,3,6/24-7/2,B5,Marr Lib,Ground,Combi,,Elateridae,,3,"Brown click beetles (Conoderus tabidus)- have flatish bodies, head seems like the same segment ",
81,3,6/24-7/2,B6,Marr Lib,Ground,Combi,Diptera,Muscidae,No,1,Common house fly ,
81,3,6/24-7/2,B6,Marr Lib,Ground,Combi,Trichoptera,Limnephilidae,No,4,Tan moths- all small ,
81,3,6/24-7/2,B6,Marr Lib,Ground,Combi,Hymenoptera,Formicidae,No,5,Red pavement ant,
81,3,6/24-7/2,B6,Marr Lib,Ground,Combi,Araneae,Spider,No,1,"Spider- very small, black ",
81,3,6/24-7/2,B6,Marr Lib,Ground,Combi,,,,4,"Very small, fly like ",
81,3,6/24-7/2,B6,Marr Lib,Ground,Combi,,,,1,"Very small, waspish looking ",
82,3,6/24-7/2,C1,NHMU,Ground,Combi,Hymenoptera,  Crabronidae,Yes,31,Weevil wasp ,
82,3,6/24-7/2,C1,NHMU,Ground,Combi,Diptera,Dolichopodidae,No,1,Long-legged Fly ,
83,3,6/24-7/2,C2,NHMU,Ground,Combi,Hymenoptera,Apidae,Yes,5,Tri-colored bumblebee,
84,3,6/24-7/2,C3,NHMU,Ground,Combi,Hymenoptera,  Crabronidae,Yes,138,"Weevil wasps- some are small, others are medium size. ",
84,3,6/24-7/2,C3,NHMU,Ground,Combi,Hymenoptera,Formicidae,No,3,pavement ant swarmers ,
85,3,6/24-7/2,C4,NHMU,Ground,Combi,Lepidoptera,Noctuidae,No,20,"Tan moths, smallish - Forage looper moth?",
85,3,6/24-7/2,C4,NHMU,Ground,Combi,Lepidoptera,Noctuidae,No,2,Dingy Cutworm Moth - large with hairy shoulders,
86,3,6/24-7/2,C5,NHMU,Ground,Combi,Diptera,Dolichopodidae,No,31,Long-legged Fly ,
87,3,6/24-7/2,C6,NHMU,Ground,Combi,Diptera,Dolichopodidae,No,1,Long-legged Fly ,
87,3,6/24-7/2,C6,NHMU,Ground,Combi,Diptera,Culicidae,No,1,Mosquitos,
87,3,6/24-7/2,C6,NHMU,Ground,Combi,,,,,Micro insects ,
87,3,6/24-7/2,C6,NHMU,Ground,Combi,,,,,,
87,3,6/24-7/2,C6,NHMU,Ground,Combi,,,,,,
88,3,6/24-7/2,C7,NHMU,Ground,Combi,Dermaptera,Labiduridae,No,2,Ring-Legged Earwig - Changed all families to Labiduridae ,
88,3,6/24-7/2,C7,NHMU,Ground,Combi,Araneae,Spider,No,3,Assorted Spiders,
89,3,6/24-7/2,C8,NHMU,Ground,Combi,Trichoptera,Limnephilidae,No,1,Small tan moth ,
89,3,6/24-7/2,C8,NHMU,Ground,Combi,Coleoptera,Elateridae ,No,2,Click beetles- very small head,
89,3,6/24-7/2,C8,NHMU,Ground,Combi,Hemiptera,Rhopalidae ,No,1,"Boxelder Bug - reg eyes, red backs ",
89,3,6/24-7/2,C8,NHMU,Ground,Combi,Hemiptera,Reduviidae,No,1,"Looks like a beetle, but has wings. Black body, with red on wings, and white stripe behind head. Same as box3 A1",
89,3,6/24-7/2,C8,NHMU,Ground,Combi,Coleoptera,Scarabaeidae ,No,1,"Small beetle - specimen seems to be old, but appears iridescent - possibly Japanese beetle ",
89,3,6/24-7/2,C8,NHMU,Ground,Combi,,,,1,Small beetle - with black dots on wings ,
89,3,6/24-7/2,C8,NHMU,Ground,Combi,,,,1,"Small bug - appears to be white, don't know if its bleached or old",
90,3,6/24-7/2,C9,NHMU,Ground,Combi,Hymenoptera,  Crabronidae,Yes,6,"Weevil Wasp; 5 small, 1 large ",
90,3,6/24-7/2,C9,NHMU,Ground,Combi,Hymenoptera,Formicidae,No,1,Red carpenter ant with wings  ,
90,3,6/24-7/2,C9,NHMU,Ground,Combi,Hymenoptera,Formicidae,No,1,Black pavement ant swarmer ,
90,3,6/24-7/2,C9,NHMU,Ground,Combi,Hymenoptera,Formicidae,No,3,Black carpenter ant swarmers ,
91,3,6/24-7/2,C10,NHMU,Ground,Combi,Diptera,Muscidae,No,17,Common house fly ,
91,3,6/24-7/2,C10,NHMU,Ground,Combi,Diptera,Drosophilidae,No,16,"Fruit flies, brown flies",
