Sample # - this is the number of the sample collected in a trap during the time period covered in column C,Box # - this is the number on the box in which these vials of insects are contained,Date - this is the time period during which invertebrates were trapped for this sample,"ID - this is the location in the box for this vial, row A, column 1",Location - this is the location where the sample was collected (NHMU: Natural History Museum of Utah; Marr Lib: Marriot Library at the University of Utah),Roof/Ground - this is where the traps were located at each location (Ground: at ground level; roof: on the green roof),Combi/Pitfall - this is the type of trap used to collect the sample (Combi: combination trap that catches aerial invertebrate; Pitfall: pitfall trap that catches ground crawling invertebrates),Order - this is the taxonomic order of the collected invertebrates),Family - this is the taxonomic family of the invertebrates collected,Pollinator - this is whether or not the invertebrate is a known pollinator (Yes) or not (No),Amount - this is the number of each invertebrate of this morphospecies in the sample,Notes:,
220,6,8/27-9/22,I1,NHMU,Roof,Pitfall,Araneae,Spider,No,4,Assorted Spiders ,
221,6,8/27-9/22,I2,NHMU,Roof,Pitfall,Diptera,Cecidomyiidae,No,1,"Gall midge, looks like a mosquito without a beak pg 333",
221,6,8/27-9/22,I2,NHMU,Roof,Pitfall,Collembola ,Isotomidae,No,1,Isotoma viridis pg 60,
221,6,8/27-9/22,I2,NHMU,Roof,Pitfall,Hymenoptera,Formicidae,No,1,"Carpenter ant, striped abdomens ",
221,6,8/27-9/22,I2,NHMU,Roof,Pitfall,Lepidoptera,Noctuidae,No,1,297 tufted thorax ,
222,6,8/27-9/22,J1,NHMU,Roof,Pitfall,Diptera ,Sciaridae ,No,30,Fungas Gnats - long legs pg333,
223,6,8/27-9/22,J2,NHMU,Roof,Pitfall,Areaneae,Spider ,No,1,micro spider,
223,6,8/27-9/22,J2,NHMU,Roof,Pitfall,Hymenoptera,Formicidae,No,1,Red pavement ant,
223,6,8/27-9/22,J2,NHMU,Roof,Pitfall,Collembola ,Isotomidae,No,12,Isotoma viridis pg 60,
234,6,8/27-9/22,J3,NHMU,Roof,Pitfall,Isopoda,Armadillidiidae,No,3,Common pill bug,
235,6,8/27-9/22,K1,NHMU,Ground ,Combi ,Lepidoptera,Noctuidae,No,38,"Miller moth - has white stripe near end of wing, wing ends frayed ",
235,6,8/27-9/22,K1,NHMU,Ground ,Combi ,Lepidoptera,Noctuidae,No,4,Dingy Cutworm Moth - large with hairy shoulders,
235,6,8/27-9/22,K1,NHMU,Ground ,Combi ,Diptera,Culicidae,No,4,Mosquitos,
235,6,8/27-9/22,K1,NHMU,Ground ,Combi ,Lepidoptera,Pyralidae,No,3,Large tabby moth ,
235,6,8/27-9/22,K1,NHMU,Ground ,Combi ,Lepidoptera,Noctuidae,No,4,Small tan moth,
236,6,8/27-9/22,K2,NHMU,Ground ,Combi ,Coleoptera,Dermestidae ,No,22,Carpet beetles ,
237,6,8/27-9/22,K3,NHMU,Ground ,Combi ,Hymenoptera,Vespidae,Yes,7,Yellow Jacket - has dots and half diamonds on abdomen,Vespula pensylvanica
238,6,8/27-9/22,K4,NHMU,Ground ,Combi ,Hymenoptera,Apidae,Yes,4,"Honey bee - thicker legs, hairy ",Apis mellifera
239,6,8/27-9/22,K5,NHMU,Ground ,Combi ,Hemiptera,Rhopalidae ,No,8,"Boxelder Bug - reg eyes, red backs ",
240,6,8/27-9/22,K6,NHMU,Ground ,Combi ,,,No,2,"White bugs, possibly lacewings pg 244 brown lacewing?",
241,6,8/27-9/22,K7,NHMU,Ground ,Combi ,Dermaptera,Labiduridae,No,1,Ring-legged earwig ,
242,6,8/27-9/22,K8,NHMU,Ground ,Combi ,Hymenoptera,Pompilidae,Yes,4,"Spider wasp- long antennae, black",Pompilus luctosus
242,6,8/27-9/22,K8,NHMU,Ground ,Combi ,Hymenoptera,Sphecidae,Yes,1,Black wasp. Subfamily- Philanthinae Cerceris clypeata pg387D,Cerceris clypeata
242,6,8/27-9/22,K8,NHMU,Ground ,Combi ,Diptera,Dolichopodidae,No,13,long legged flies - iridescent ,
242,6,8/27-9/22,K8,NHMU,Ground ,Combi ,Diptera,Calliphoridae,No,32,Blow fly - carrion fly. Iridescent green ,
242,6,8/27-9/22,K8,NHMU,Ground ,Combi ,Diptera,Muscidae,No,375,Common house fly ,
242,6,8/27-9/22,K8,NHMU,Ground ,Combi ,Diptera,Culicidae,No,13,Mosquitos ,
242,6,8/27-9/22,K8,NHMU,Ground ,Combi ,Areaneae,Spider,No,8,Assorted spiders ,
242,6,8/27-9/22,K8,NHMU,Ground ,Combi ,Diptera,Drosophilidae,No,72,brown/tan flies ,
242,6,8/27-9/22,K8,NHMU,Ground ,Combi ,Coleoptera,Curculionidae ,No,3,weevils ,
242,6,8/27-9/22,K8,NHMU,Ground ,Combi ,Coleoptera,Chrysomelidae,No,3,Leaf beetles - small and black pg227,
242,6,8/27-9/22,K8,NHMU,Ground ,Combi ,Hymenoptera,Formicidae,No,20,Black carpenter ants ,
242,6,8/27-9/22,K8,NHMU,Ground ,Combi ,Lepidoptera,Noctuidae,No,41,Small tan moth,
243,6,8/27-9/22,L1,NHMU,Ground ,Pitfall,Areaneae,Spider,No,18,Spiders,
244,6,8/27-9/22,L2,NHMU,Ground ,Pitfall,Dermaptera,Labiduridae,No,5,Ring-legged earwig ,
245,6,8/27-9/22,L3,NHMU,Ground ,Pitfall,Diptera,Muscidae,No,13,Common house fly ,
245,6,8/27-9/22,L3,NHMU,Ground ,Pitfall,Diptera,Syrphidae,Yes,5,"Look similar to bees, have large eyes, and yellow legs. Syrphid Flies ",
245,6,8/27-9/22,L3,NHMU,Ground ,Pitfall,Diptera,Syrphidae,Yes,4,"Looks very similar to honey bee (Eristalis tenax). Orange coloration, hairy thorax pg342",
246,6,8/27-9/22,L4,NHMU,Ground ,Pitfall,Coleoptera,Tenebrionidae,No,3,Dentate Stink Beetle ,
247,6,8/27-9/22,L5,NHMU,Ground ,Pitfall,Isopoda,Armadillidiidae,No,20,Common pill bug ,
248,6,8/27-9/22,L6,NHMU,Ground ,Pitfall,Polydesmida,Eurymerodesmidae,No,11,"Millipede larvae - ringged, circular ",
249,6,8/27-9/22,L7,NHMU,Ground ,Pitfall,Lepidoptera,Noctuidae,No,3,Due to paired auditory organs at the base of the abdomen,
250,6,8/27-9/22,L8,NHMU,Ground ,Pitfall,Hymenoptera,Vespidae,Yes,1,Yellow Jacket - has dots and half diamonds on abdomen,Vespula pensylvanica
251,6,8/27-9/22,L9,NHMU,Ground ,Pitfall,Hymenoptera,Formicidae,No,6,Small black ants ,
251,6,8/27-9/22,L9,NHMU,Ground ,Pitfall,Areaneae,Spider,No,3,"Assorted Spiders , very small",
251,6,8/27-9/22,L9,NHMU,Ground ,Pitfall,Diptera,Culicidae,No,2,small mosquito pg328,
251,6,8/27-9/22,L9,NHMU,Ground ,Pitfall,Hemiptera,Lygaeoidea,No,1,False chinch bug - orange due to alcohol ,
251,6,8/27-9/22,L9,NHMU,Ground ,Pitfall,Diptera ,Simuliidae ,No,5,"small black flies, 5 dark longitudinal stripes pg332",
252,7,9/22-9/30,A1,Marr Lib,Roof,Pitfall ,Isopoda,Armadillidiidae,No,40,Common pill bugs ,
253,7,9/22-9/30,A2,Marr Lib,Roof,Pitfall ,Soleolifera ,Slug Unknown,No,1,Slug ,
254,7,9/22-9/30,A3,Marr Lib,Roof,Pitfall ,Areaneae,Spider,No,3,Assorted spiders,
255,7,9/22-9/30,B1,NHMU,Roof,Combi,Hemiptera,Rhopalidae ,No,6,"Boxelder Bug - reg eyes, red backs ",
256,7,9/22-9/30,C1,NHMU,Ground ,Combi ,Lepidoptera,Noctuidae,No,1,Dingy Cutworm Moth - large with hairy shoulders,
256,7,9/22-9/30,C1,NHMU,Ground ,Combi ,Lepidoptera,Noctuidae,No,2,"Miller moth - has white stripe near end of wing, wing ends frayed pg297",
256,7,9/22-9/30,C1,NHMU,Ground ,Combi ,Lepidoptera,Noctuidae,No,1,Small tan moth ,
257,7,9/22-9/30,C2,NHMU,Ground ,Combi ,Hymenoptera,Apidae,Yes,3,"Honey bee - thicker legs, hairy ",Apis mellifera
257,7,9/22-9/30,C2,NHMU,Ground ,Combi ,Diptera,Syrphidae,Yes,4,"Look similar to bees, have large eyes, and yellow legs. Syrphid Flies ",
257,7,9/22-9/30,C2,NHMU,Ground ,Combi ,Diptera,Syrphidae,Yes,1,"Syrphus torvus. Looks like bee, but is a fly, striped. ",
258,7,9/22-9/30,C3,NHMU,Ground ,Combi ,Diptera ,Muscidae,No,2,Common house fly,
258,7,9/22-9/30,C3,NHMU,Ground ,Combi ,Diptera ,Syrphidae,Yes,7,"Flies with yellow legs, dots on wings ",
259,7,9/22-9/30,C4,NHMU,Ground ,Combi ,Hemiptera,Rhopalidae ,No,2,"Boxelder Bug - reg eyes, red backs ",
259,7,9/22-9/30,C4,NHMU,Ground ,Combi ,Hemiptera,Pentatomidae,No,1,"shield stink bug, green with white dot on back",
259,7,9/22-9/30,C4,NHMU,Ground ,Combi ,Coleoptera,Chrysomelidae,No,1,"Elm leaf beetle- very small, tanish coloration ",
259,7,9/22-9/30,C4,NHMU,Ground ,Combi ,Coleoptera,Elateridae ,No,1,small brown click beetle,
259,7,9/22-9/30,C4,NHMU,Ground ,Combi ,,,,1,Cassisfly? Similar to box 6 C6 pg 244 brown lacewing,
260,7,9/22-9/30,C5,NHMU,Ground ,Combi ,Diptera,Muscidae,No,48,Common house flies ,
261,7,9/22-9/30,C6,NHMU,Ground ,Combi ,Diptera,Calliphoridae,No,1,Blow fly - carrion fly. Iridescent green ,
261,7,9/22-9/30,C6,NHMU,Ground ,Combi ,Diptera,Syrphidae,Yes,1,Looks very similar to honey bee (Eristalis tenax) ,
261,7,9/22-9/30,C6,NHMU,Ground ,Combi ,Diptera ,Muscidae,No,1,Common house fly ,
261,7,9/22-9/30,C6,NHMU,Ground ,Combi ,Diptera,Syrphidae,Yes,4,"Look similar to bees, have large eyes, and yellow legs. Syrphid Flies. Small. ",
262,7,9/22-9/30,C7,NHMU,Ground ,Combi ,Diptera,Culicidae,No,3,Mosquitos,
262,7,9/22-9/30,C7,NHMU,Ground ,Combi ,Diptera,Cecidomyiidae,No,1,"Gall midge, looks like a mosquito without a beak pg 333",
262,7,9/22-9/30,C7,NHMU,Ground ,Combi ,Dermaptera,Labiduridae,No,1,Ring-legged earwig,
262,7,9/22-9/30,C7,NHMU,Ground ,Combi ,Diptera ,Drosophilidae,No,1,"Friut fly, yellowish with red eyes ",
262,7,9/22-9/30,C7,NHMU,Ground ,Combi ,Hemiptera,Miridae,No,2,"Small, plant bugs, long antennae pg149",
262,7,9/22-9/30,C7,NHMU,Ground ,Combi ,Hymenoptera,Pompilidae,Yes,1,Spider wasp  pg385,Pompilus luctosus
262,7,9/22-9/30,C7,NHMU,Ground ,Combi ,Diptera ,Ephydridae,No ,2,Dark small flies ,
262,7,9/22-9/30,C7,NHMU,Ground ,Combi ,Diptera ,Lauxaniidae,No,3,"tan flies, with stripes ",
262,7,9/22-9/30,C7,NHMU,Ground ,Combi ,Megadrilacea,,No ,1,Worm ,
263,7,9/22-9/30,D1,NHMU,Roof,Pitfall ,Areaneae,Spider,No,6,Assorted spiders,
264,7,9/22-9/30,D2,NHMU,Roof,Pitfall ,Isopoda,Armadillidiidae,No,7,Common pillbug ,
265,7,9/22-9/30,D3,NHMU,Roof,Pitfall ,Diptera,Muscidae,No,2,Common house flies ,
265,7,9/22-9/30,D3,NHMU,Roof,Pitfall ,Diptera,Simuliidae ,No,1,Small black fly,
265,7,9/22-9/30,D3,NHMU,Roof,Pitfall ,Diptera,Syrphidae,Yes,1,"Look similar to bees, have large eyes, and yellow legs. Syrphid Flies ",
266,7,9/22-9/30,D4,NHMU,Roof,Pitfall ,Soliolifera ,Slug Unknown,No,2,Slug larvae,
266,7,9/22-9/30,D4,NHMU,Roof,Pitfall ,Polydesmida,Eurymerodesmidea ,No,1,Millipede ,
266,7,9/22-9/30,D4,NHMU,Roof,Pitfall ,Coleoptera,Chrysomelidae,No,1,Black beetle with segmented antennae and legs,
267,7,9/22-9/30,E1,NHMU,Roof,Pitfall,Diptera ,Sciaridae ,No,24,Fungus Gnat ,
268,7,9/22-9/30,E2,NHMU,Roof,Pitfall,Collembola ,Isotomidae,No,5,Isotoma viridis pg 60,
268,7,9/22-9/30,E2,NHMU,Roof,Pitfall,Diptera ,Simuliidae ,No,1,small black fly,
269,7,9/22-9/30,F1,Marr Lib,Ground,Pitfall,Coleoptera,Elateridae ,No,1,Brown click beetle ,
269,7,9/22-9/30,F2,Marr Lib,Ground,Pitfall,Coleoptera,Dermestidae ,No,1,Carpet beetle ,
