Exotic bird data from Threlfall et al Journal of Applied Ecology 'Increasing biodiversity in urban green spaces through simple vegetation interventions',,,
For data collection methods see above paper.,,,
spp = species. Point = green space site (n=39). Rep = plot within each green space.,,,
,,,
spp,point,rep,occ
"""Spotted Turtle Dove""",GC004,1,1
"""Spotted Turtle Dove""",GC004,2,1
"""Spotted Turtle Dove""",GC004,3,1
"""Spotted Turtle Dove""",GC005,2,1
"""Spotted Turtle Dove""",GC006,2,1
"""Spotted Turtle Dove""",GC006,3,1
"""Spotted Turtle Dove""",GC007,1,1
"""Spotted Turtle Dove""",GC007,2,1
"""Spotted Turtle Dove""",GC007,3,1
"""Spotted Turtle Dove""",GC008,1,1
"""Spotted Turtle Dove""",GC008,2,1
"""Spotted Turtle Dove""",GC008,3,1
"""Spotted Turtle Dove""",GC009,2,1
"""Spotted Turtle Dove""",GC010,1,1
"""Spotted Turtle Dove""",GC010,2,1
"""Spotted Turtle Dove""",GC010,3,1
"""Spotted Turtle Dove""",GC011,2,1
"""Spotted Turtle Dove""",GC012,1,1
"""Spotted Turtle Dove""",GC012,2,1
"""Spotted Turtle Dove""",GC012,3,1
"""Spotted Turtle Dove""",RG001,1,1
"""Spotted Turtle Dove""",RG001,2,1
"""Spotted Turtle Dove""",RG001,3,1
"""Spotted Turtle Dove""",RG002,1,1
"""Spotted Turtle Dove""",RG002,2,1
"""Spotted Turtle Dove""",RG002,3,1
"""Spotted Turtle Dove""",RG003,1,1
"""Spotted Turtle Dove""",RG003,2,1
"""Spotted Turtle Dove""",RG004,1,1
"""Spotted Turtle Dove""",RG004,2,1
"""Spotted Turtle Dove""",RG004,3,1
"""Spotted Turtle Dove""",RG005,1,1
"""Spotted Turtle Dove""",RG005,2,1
"""Spotted Turtle Dove""",RG005,3,1
"""Spotted Turtle Dove""",RG006,1,1
"""Spotted Turtle Dove""",RG006,2,1
"""Spotted Turtle Dove""",RG006,3,1
"""Spotted Turtle Dove""",RG007,1,1
"""Spotted Turtle Dove""",RG007,2,1
"""Spotted Turtle Dove""",RG007,3,1
"""Spotted Turtle Dove""",RG008,1,1
"""Spotted Turtle Dove""",RG008,2,1
"""Spotted Turtle Dove""",RG008,3,1
"""Spotted Turtle Dove""",RG009,1,1
"""Spotted Turtle Dove""",RG009,2,1
"""Spotted Turtle Dove""",RG009,3,1
"""Spotted Turtle Dove""",RG010,1,1
"""Spotted Turtle Dove""",RG010,2,1
"""Spotted Turtle Dove""",RG010,3,1
"""Spotted Turtle Dove""",RG011,1,1
"""Spotted Turtle Dove""",RG011,2,1
"""Spotted Turtle Dove""",RG011,3,1
"""Spotted Turtle Dove""",RG012,1,1
"""Spotted Turtle Dove""",RG012,2,1
"""Spotted Turtle Dove""",RG012,3,1
"""Spotted Turtle Dove""",RG013,1,1
"""Spotted Turtle Dove""",RG013,2,1
"""Spotted Turtle Dove""",RG013,3,1
"""Spotted Turtle Dove""",UP001,1,1
"""Spotted Turtle Dove""",UP001,2,1
"""Spotted Turtle Dove""",UP002,1,1
"""Spotted Turtle Dove""",UP002,2,1
"""Spotted Turtle Dove""",UP002,3,1
"""Spotted Turtle Dove""",UP003,3,1
"""Spotted Turtle Dove""",UP004,1,1
"""Spotted Turtle Dove""",UP004,2,1
"""Spotted Turtle Dove""",UP004,3,1
"""Spotted Turtle Dove""",UP006,1,1
"""Spotted Turtle Dove""",UP007,1,1
"""Spotted Turtle Dove""",UP007,2,1
"""Spotted Turtle Dove""",UP007,3,1
"""Spotted Turtle Dove""",UP008,1,1
"""Spotted Turtle Dove""",UP008,2,1
"""Spotted Turtle Dove""",UP008,3,1
"""Spotted Turtle Dove""",UP009,3,1
"""Spotted Turtle Dove""",UP011,2,1
"""Spotted Turtle Dove""",UP011,3,1
"""Spotted Turtle Dove""",UP012,1,1
"""Spotted Turtle Dove""",UP012,2,1
"""Spotted Turtle Dove""",UP013,1,1
"""Spotted Turtle Dove""",UP013,2,1
"""Spotted Turtle Dove""",UP013,3,1
