Bee data from Threlfall et al Journal of Applied Ecology 'Increasing biodiversity in urban green spaces through simple vegetation interventions',,,,,
For data collection methods see above paper.,,,,,
"spp = species. Point = green space site (n=39). Rep = plot within each green space. Season = spring and summer sampling seasons as  detailed in the paper. Homalictus (Homalictus) complex: punctatus, brisbanensis and megastigmus",,,,,
Plot,point,rep,spp,Season,occ
04GC03,GC004,7,"""Homalictus (Homalictus) sphecodoides""",2,1
04GC04,GC004,8,"""Homalictus (Homalictus) sphecodoides""",2,1
05GC01,GC005,5,"""Homalictus (Homalictus) sphecodoides""",2,1
05GC02,GC005,6,"""Homalictus (Homalictus) sphecodoides""",2,1
05GC03,GC005,7,"""Homalictus (Homalictus) sphecodoides""",2,1
06GC02,GC006,6,"""Homalictus (Homalictus) sphecodoides""",2,1
07GC02,GC007,6,"""Homalictus (Homalictus) sphecodoides""",2,1
08GC01,GC008,5,"""Homalictus (Homalictus) sphecodoides""",2,1
09GC01,GC009,1,"""Homalictus (Homalictus) sphecodoides""",1,1
09GC02,GC009,2,"""Homalictus (Homalictus) sphecodoides""",1,1
09GC03,GC009,3,"""Homalictus (Homalictus) sphecodoides""",1,1
09GC04,GC009,4,"""Homalictus (Homalictus) sphecodoides""",1,1
09GC01,GC009,5,"""Homalictus (Homalictus) sphecodoides""",2,1
09GC02,GC009,6,"""Homalictus (Homalictus) sphecodoides""",2,1
11GC01,GC011,1,"""Homalictus (Homalictus) sphecodoides""",1,1
11GC02,GC011,2,"""Homalictus (Homalictus) sphecodoides""",1,1
11GC04,GC011,4,"""Homalictus (Homalictus) sphecodoides""",1,1
11GC04,GC011,8,"""Homalictus (Homalictus) sphecodoides""",2,1
13GC01,GC013,5,"""Homalictus (Homalictus) sphecodoides""",2,1
13GC02,GC013,6,"""Homalictus (Homalictus) sphecodoides""",2,1
13GC03,GC013,7,"""Homalictus (Homalictus) sphecodoides""",2,1
13GC04,GC013,8,"""Homalictus (Homalictus) sphecodoides""",2,1
01RG01,RG001,1,"""Homalictus (Homalictus) sphecodoides""",1,1
01RG02,RG001,2,"""Homalictus (Homalictus) sphecodoides""",1,1
01RG04,RG001,4,"""Homalictus (Homalictus) sphecodoides""",1,1
01RG01,RG001,5,"""Homalictus (Homalictus) sphecodoides""",2,1
02RG01,RG002,5,"""Homalictus (Homalictus) sphecodoides""",2,1
02RG02,RG002,6,"""Homalictus (Homalictus) sphecodoides""",2,1
03RG04,RG003,4,"""Homalictus (Homalictus) sphecodoides""",1,1
03RG01,RG003,5,"""Homalictus (Homalictus) sphecodoides""",2,1
03RG02,RG003,6,"""Homalictus (Homalictus) sphecodoides""",2,1
04RG05,RG004,1,"""Homalictus (Homalictus) sphecodoides""",1,1
04RG02,RG004,2,"""Homalictus (Homalictus) sphecodoides""",1,1
04RG03,RG004,3,"""Homalictus (Homalictus) sphecodoides""",1,1
04RG05,RG004,5,"""Homalictus (Homalictus) sphecodoides""",2,1
04RG02,RG004,6,"""Homalictus (Homalictus) sphecodoides""",2,1
04RG03,RG004,7,"""Homalictus (Homalictus) sphecodoides""",2,1
05RG01,RG005,5,"""Homalictus (Homalictus) sphecodoides""",2,1
06RG02,RG006,6,"""Homalictus (Homalictus) sphecodoides""",2,1
06RG03,RG006,7,"""Homalictus (Homalictus) sphecodoides""",2,1
07RG02,RG007,6,"""Homalictus (Homalictus) sphecodoides""",2,1
07RG03,RG007,7,"""Homalictus (Homalictus) sphecodoides""",2,1
08RG04,RG008,4,"""Homalictus (Homalictus) sphecodoides""",1,1
