Family,Genus,Species,Status,Count,Rep
Boraginaceae,Borago,officinalis,non-native,0,1
Boraginaceae,Myosotis,spp.,non-native,1,2
Boraginaceae,Symphytum,spp.,non-native,1,3
Brassicaceae,Alyssum,spp.,non-native,0,4
Brassicaceae,Brassica,spp.,non-native,0,1
Brassicaceae,Sinapis,arvensis,non-native,0,1
Campanulaceae,Campanula,spp.,native,6,13
Campanulaceae,Lobelia,inflata,native,0,1
Cannaceae,Canna,spp.,non-native,0,1
Capparaceae,Cleome,spp.,non-native,2,4
Caprifoliaceae,Diervilla,lonicera,native,1,1
Caprifoliaceae,Weigela,Thunb.,non-native,1,3
Caryophyllaceae,Dianthus,armeria,non-native,0,1
Caryophyllaceae,Dianthus,barbatus,non-native,0,4
Caryophyllaceae,Lychnis,coronaria,non-native,0,3
Caryophyllaceae,Saponaria,officinalis,non-native,0,6
Caryophyllaceae,Silene,latifolia,non-native,0,5
Caryophyllaceae,Silene,vulgaris,non-native,0,3
Caryophyllaceae,Stellaria,graminea,non-native,0,5
Convolvulaceae,Calystegia,sepium,native,1,7
Cornaceae,Cornus,sericea,native,1,1
Crassulaceae,Sedum,spp.,non-native,0,4
Cucurbitaceae,Cucurbita,spp.,non-native,0,4
Cucurbitaceae,Echinocystis,lobata,native,2,4
Fabaceae,Desmodium,canadense,native,0,5
Fabaceae,Lathyrus,latifolius,non-native,1,2
Fabaceae,Lathyrus,odoratus,non-native,0,1
Fabaceae,Lotus,corniculatus,non-native,0,2
Fabaceae,Melilotus,albus,non-native,8,8
Fabaceae,Phaseolus,vulgaris,non-native,0,1
Fabaceae,Securigera,varia,non-native,2,2
Fabaceae,Trifolium,arvense,non-native,0,2
Fabaceae,Trifolium,aureum,non-native,0,1
Fabaceae,Trifolium,campestre,non-native,0,3
Fabaceae,Trifolium,hybridum,non-native,1,6
Fabaceae,Trifolium,pratense,non-native,2,11
Fabaceae,Trifolium,repens,non-native,2,18
Fabaceae,Vicia,cracca,non-native,8,27
Geraniaceae,Geranium,spp.,non-native,0,13
Goodeniaceae,Scaevola,aemula,non-native,1,2
Hydrangeaceae,Hydrangea,arborescens,non-native,6,16
Hydrangeaceae,Hydrangea,paniculata,non-native,13,16
Hypericaceae,Hypericum,kalmianum,non-native,4,4
Hypericaceae,Hypericum,perforatum,non-native,0,1
Hypericaceae,Hypericum,punctatum,native,0,7
Iridaceae,Crocosmia,Planch.,non-native,0,1
Iridaceae,Gladiolus,spp.,non-native,0,2
Lamiaceae,Coleus,Lour.,non-native,1,1
Lamiaceae,Galeopsis,tetrahit,non-native,2,7
Lamiaceae,Hyssopus,officinalis,non-native,2,3
Lamiaceae,Lamium,purpureum,non-native,1,4
Lamiaceae,Lavandula,spp.,non-native,0,6
Lamiaceae,Lycopus,americanus,native,0,3
Lamiaceae,Melissa,officinalis,non-native,3,3
Lamiaceae,Mentha,spicata,non-native,8,13
Lamiaceae,Monarda,didyma,non-native,3,6
Lamiaceae,Nepeta,spp.,non-native,0,1
Lamiaceae,Ocimum,basilicum,non-native,0,2
Lamiaceae,Origanum,vulgare,non-native,4,6
Lamiaceae,Perovskia,atriplicifolia,non-native,10,10
Lamiaceae,Physostegia,virginiana,non-native,3,4
Lamiaceae,Prunella,vulgaris,non-native,1,9
Lamiaceae,Salvia,officinalis,non-native,1,1
Lamiaceae,Satureja,hortensis,non-native,1,1
Lamiaceae,Thymus,serpyllum,non-native,2,4
Liliaceae,Lilium,spp.,non-native,1,4
Lythraceae,Lythrum,salicaria,non-native,23,34
Malvaceae,Alcea,spp.,non-native,1,3
Malvaceae,Hibiscus,spp.,non-native,5,9
Malvaceae,Lavatera,spp.,non-native,0,1
Malvaceae,Malva,moschata,non-native,0,3
Malvaceae,Malva,neglecta,non-native,0,1
Onagraceae,Epilobium,hirsutum,non-native,1,6
Onagraceae,Epilobium,spp.,native,0,2
Onagraceae,Fuchsia,spp.,non-native,0,1
Onagraceae,Oenothera,biennis,non-native,0,9
Oxalidaceae,Oxalis,spp.,non-native,0,1
Oxalidaceae,Oxalis,stricta,non-native,0,14
Papaveraceae,Dicentra,Bernh.,non-native,0,2
Plantaginaceae,Antirrhinum,spp.,non-native,0,1
Plantaginaceae,Chelone,glabra,native,1,4
Polemoniaceae,Phlox,spp.,non-native,3,15
Polygonaceae,Persicaria,sagittata,native,0,4
Polygonaceae,Polygonum,spp.,native,1,5
Potentilla,Potentilla,fruticosa,native,3,10
Potentilla,Potentilla,recta,non-native,0,4
Primulaceae,Lysimachia,ciliata,native,0,5
Primulaceae,Lysimachia,clethroides,non-native,7,9
Primulaceae,Lysimachia,nummularia,non-native,0,1
Primulaceae,Lysimachia,vulgaris,non-native,0,2
Ranunculaceae,Aconitum,napellus,non-native,2,2
Ranunculaceae,Anemone,hupehensis,non-native,2,3
Ranunculaceae,Clematis,spp.,non-native,0,4
Ranunculaceae,Delphinium,spp.,non-native,0,1
Ranunculaceae,Ranunculus,acris,non-native,0,9
Ranunculaceae,Thalictrum,spp.,non-native,0,1
Rosaceae,Rosa,spp.,non-native,6,14
Rosaceae,Rubus,odoratus,native,0,2
Rosaceae,Sorbaria,sorbifolia,non-native,4,5
Rosaceae,Spiraea,japonica,non-native,4,11
Rosaceae,Spiraea,latifolia,native,0,7
Rosaceae,Spiraea,tomentosa,native,0,1
Rubiaceae,Galium,mollugo,non-native,0,1
Salicaceae,Salix,spp.,native,1,1
Saxifragaceae,Astilbe,Buch.-Ham.,non-native,3,4
Saxifragaceae,Heuchera,micrantha,non-native,3,5
Saxifragaceae,Saxifraga,spp.,native,0,1
Scrophulariaceae,Digitalis,purpurea,non-native,0,1
Scrophulariaceae,Linaria,vulgaris,non-native,0,4
Scrophulariaceae,Verbascum,thapsus,non-native,0,1
Scrophulariaceae,Veronica,spicata,non-native,1,1
Solanaceae,Calibrachoa,Cerv.,non-native,3,10
Solanaceae,Nicotiana,spp.,non-native,0,1
Solanaceae,Physalis,heterophylla,native,0,2
Solanaceae,Solanum,dulcamara,non-native,4,5
Solanaceae,Solanum,lycopersicum,non-native,0,1
Solanaceae,Solanum,nigrum,non-native,0,1
Tamaricaceae,Tamarix ramosissima Ledeb.,,non-native,1,2
Tropaeolaceae,Tropaeolum L.,,non-native,0,2
Urticaceae,Urtica dioica L.,,native,0,1
Valerianaceae,Valeriana officinalis L.,,non-native,3,13
Verbenaceae,Lantana L.,,non-native,0,1
Verbenaceae,Verbena hastata L.,,native,3,11
Verbenaceae,Verbena hybrida Groenl. & Rumpler,,non-native,0,5
Violaceae,Viola L.,,non-native,0,8
Xanthorrhoeaceae,Hemerocallis L.,,non-native,0,18
