GI.type,Species Number,Genus,Species,urban.gradient,Urban
cemeteries,24,Cheilosia,albitarsis,rural,1.25
cemeteries,25,Andrena,angustior,rural,1.75
cemeteries,26,Andrena,cineraria,rural,2.38
cemeteries,27,Andrena,semilaevis,rural,3.75
cemeteries,28,Nomada,panzeri,rural,0.75
cemeteries,29,Cheilosia,soror,rural,0.5
cemeteries,30,Helophilus,pendulus,rural,2
cemeteries,31,Bombus,sylvestris,rural,0.63
cemeteries,32,Syrphus,ribesii,rural,0.63
cemeteries,33,Andrena,fulva,rural,1
cemeteries,34,Lasioglossum,albipes,rural,1.63
cemeteries,35,Andrena,nigroaenea,rural,0.75
cemeteries,36,Nomada,goodeniana,rural,1
cemeteries,37,Platycherius,clypteatus,rural,1.25
cemeteries,38,Hylaeus,communis,rural,0.38
cemeteries,39,Rhingia,campestris,rural,2.88
cemeteries,40,Neoascia,podagrica,rural,1.88
cemeteries,41,Dasysyrphus,albostriatus,rural,0.75
cemeteries,42,Volucella,pellucens,rural,0.25
cemeteries,43,Hylaeus,hyalinatus,rural,0.38
cemeteries,44,Andrena,nitida,rural,2.13
cemeteries,45,Megachile,centuncularis,rural,0.25
cemeteries,46,Bombus,barbutellus,rural,0.25
cemeteries,47,Bombus,rupestris,rural,0.75
cemeteries,48,Andrena,subopaca,rural,0.38
cemeteries,49,Halictus,tumulorum,rural,0.25
cemeteries,50,Megachile,ligniseca,rural,0.25
cemeteries,51,Nomada,flavoguttata,rural,0.38
cemeteries,52,Nomada,ruficornis,rural,0.25
cemeteries,53,Platycherius,granditarsis,rural,0.25
cemeteries,54,Chrysogaster,solstitialis,rural,0.25
cemeteries,55,Melanogaster,hirtella,rural,0.25
cemeteries,56,Xylota,segnis,rural,2.13
cemeteries,57,Bombus,hypnorum,rural,0.25
cemeteries,58,Eupeodes,corollae,rural,0.25
cemeteries,59,Eupeodes,latifasciatus,rural,0.13
cemeteries,60,Lasioglossum,smeathmanellum,rural,0.13
cemeteries,61,Epistrophe,eligans,rural,0.13
cemeteries,62,Colletes,daviesanus,rural,0.13
cemeteries,63,Bombus,campestris,rural,0.13
cemeteries,64,Eupeodes,luniger,rural,0.13
cemeteries,65,Syrphus,vitripennis,rural,0.13
cemeteries,66,Eristalis,pertinax,rural,0.13
cemeteries,67,Eristalis,tenax,rural,0.13
cemeteries,68,Andrena,helvola,rural,0.88
cemeteries,69,Andrena,synadelpha,rural,0.38
cemeteries,70,Andrena,chrysosceles,rural,0.25
cemeteries,71,Andrena,dorsata,rural,0.13
cemeteries,72,Andrena,wilkella,rural,0.5
cemeteries,73,Lasioglossum,leucopus,rural,0.13
cemeteries,74,Sphecodes,ferruginatus,rural,0.13
cemeteries,75,Chelostoma,florisomne,rural,0.25
cemeteries,76,Osmia,caerulescens,rural,0.38
