Infratructure type,site,Wall type,Area (m2),Estimate,Taxa,Spider abundance
grey,M20,Bare Wall,120,Richness,Beetle,0
grey,M31,Bare Wall,60,Richness,Beetle,0
grey,M6,Bare Wall,48,Richness,Beetle,0
grey,M9,Bare Wall,48,Richness,Beetle,0
green,M12,Climbing plants,72,Richness,Beetle,0
green,M14,Climbing plants,200,Richness,Beetle,3
green,M22,Climbing plants,100,Richness,Beetle,0
green,M24,Climbing plants,120,Richness,Beetle,1
green,M28,Climbing plants,1050,Richness,Beetle,0
green,M29,Climbing plants,100,Richness,Beetle,3
green,M30,Climbing plants,1000,Richness,Beetle,2
green,M5,Climbing plants,90,Richness,Beetle,7
green,M7,Climbing plants,300,Richness,Beetle,5
green,M8,Climbing plants,48,Richness,Beetle,6
green,M15,Felt Layer,40,Richness,Beetle,3
green,M17,Felt Layer,42,Richness,Beetle,1
green,M23,Felt Layer,108,Richness,Beetle,3
green,M27,Felt Layer,300,Richness,Beetle,4
green,M32,Felt Layer,100,Richness,Beetle,9
green,M34,Felt Layer,120,Richness,Beetle,3
green,M1,Substrate module,30,Richness,Beetle,0
green,M10,Substrate module,144,Richness,Beetle,8
green,M13,Substrate module,300,Richness,Beetle,6
green,M18,Substrate module,120,Richness,Beetle,1
green,M25,Substrate module,900,Richness,Beetle,5
green,M26,Substrate module,50,Richness,Beetle,4
green,M3,Substrate module,30,Richness,Beetle,3
green,M33,Substrate module,90,Richness,Beetle,0
green,M4,Substrate module,28,Richness,Beetle,4
