Year,Habitat,Site,Measure,value
2008,green roof,Hunenberg,Replacement clutches,3
2005,green roof,Flughafen,Adult birds,6
2005,green roof,Flughafen,Nest found,6
2005,green roof,Flughafen,Chicks hatched (all clutches),NA
2005,green roof,Flughafen,Chicks fledged,0
2005,green roof,Flughafen,Chicks age (relative days number),5
2005,green roof,Flughafen,Chicks found dead,NA
2005,green roof,Flughafen,Replacement clutches,1
2006,green roof,Flughafen,Adult birds,
2006,green roof,Flughafen,Nest found,
2006,green roof,Flughafen,Chicks hatched (all clutches),
2006,green roof,Flughafen,Chicks fledged,
2006,green roof,Flughafen,Chicks age (relative days number),
2006,green roof,Flughafen,Chicks found dead,
2006,green roof,Flughafen,Replacement clutches,
2007,green roof,Flughafen,Adult birds,22
2007,green roof,Flughafen,Nest found,10
2007,green roof,Flughafen,Chicks hatched (all clutches),9
2007,green roof,Flughafen,Chicks fledged,0
2007,green roof,Flughafen,Chicks age (relative days number),5
2007,green roof,Flughafen,Chicks found dead,6
2007,green roof,Flughafen,Replacement clutches,14
2008,green roof,Flughafen,Adult birds,
2008,green roof,Flughafen,Nest found,
2008,green roof,Flughafen,Chicks hatched (all clutches),
2008,green roof,Flughafen,Chicks fledged,
2008,green roof,Flughafen,Chicks age (relative days number),
2008,green roof,Flughafen,Chicks found dead,
2008,green roof,Flughafen,Replacement clutches,
2005,natural grassland,Choller,Adult birds,
2005,natural grassland,Choller,Nest found,
2005,natural grassland,Choller,Chicks hatched (all clutches),
2005,natural grassland,Choller,Chicks fledged,
2005,natural grassland,Choller,Chicks age (relative days number),
2005,natural grassland,Choller,Chicks found dead,
2005,natural grassland,Choller,Replacement clutches,
2006,natural grassland,Choller,Adult birds,6
2006,natural grassland,Choller,Nest found,3
2006,natural grassland,Choller,Chicks hatched (all clutches),9
2006,natural grassland,Choller,Chicks fledged,5
2006,natural grassland,Choller,Chicks age (relative days number),40
2006,natural grassland,Choller,Chicks found dead,0
2006,natural grassland,Choller,Replacement clutches,1
2007,natural grassland,Choller,Adult birds,8
2007,natural grassland,Choller,Nest found,4
2007,natural grassland,Choller,Chicks hatched (all clutches),4
2007,natural grassland,Choller,Chicks fledged,0
2007,natural grassland,Choller,Chicks age (relative days number),4
2007,natural grassland,Choller,Chicks found dead,0
2007,natural grassland,Choller,Replacement clutches,0
2008,natural grassland,Choller,Adult birds,4
2008,natural grassland,Choller,Nest found,2
2008,natural grassland,Choller,Chicks hatched (all clutches),7
2008,natural grassland,Choller,Chicks fledged,3
2008,natural grassland,Choller,Chicks age (relative days number),13
2008,natural grassland,Choller,Chicks found dead,0
2008,natural grassland,Choller,Replacement clutches,1
