Sites,Site name,Green space type,City,Size (m2),Latitude,Longitude,city,Habitats,method,Season,L.ISAWZUM,L.MICHIGANENSIS,L.ASTERIS,L.SAGAX,L.LAEVISSIMUM,L.LEUCOCOMUM,L.LINEATULUM,L.CRESSONII,L.TEGULAREA,L.IMITATUM,L.EPHIALTUM,L.PILOSUM,L.VERSATUM,L.HITCHENSI,L.TAYLOREA,L.VERSANS,L.SUBVERSANS,L.SMILACINAE,L.NIGROVIRIDE,L.ABANCI,L.PLANATUM,L.DREISBACHI,L.VIRIDATUM,L.OBLONGUM,L.TRIGEMINUM,L.ZEPHYRUM,L.TENAX,L.COERULUM,L.HETEROGNATUM,L.PARADMIRANTUM,L.PERPUNCTATUM,L.CEPHALOTES,L.BIRKMANNI,L.MACOUPINENSIS,L.FOXII,L.INCONDIDUM,L.COMAGENENSE,L.ATHABACENSE,L.CORIACEUM,L.OENOTHARAE,L.CINCTIPES,L.QUEBECENSIS,L.ZONULUM,L.LEUCOZONIUM,H.RUBICUNDUS,H.CONFUSUS,H.LIGATUS,A.AURATA,A.PURA,A.METALLICA,A.VIRESCENS,A.TEXANA,APIS.MELLIFERA,B.IMPATIENS,B.TERRICOLA,B.GRISEOCOLLIS,B.VAGANS,B.RUFOCINCTUS,B.TERNARIUS,B.BIMACULATUS,B.FERVIDUS,B.CITRINUS,B.PERPLEXUS,B.BOREALIS,M.DESPONSA,M.TRINODIS,M.DRURIELLA,M.SUBILLATA,M.ILLATA,P.PRUINOSA,A.TERMINALIS,C.CALCARATA,C.MIKMAQUI,C.DUPLA,X.VIRGINIANA,M.INERMIS,M.FRIGIDA,M.ROTUNDATA,M.PUGNATA,M.CAMPANULAE,M.CENTUNCULARIS,M.RELATIVA,M.LATIMANUS,M.GEMULA,M.TEXANA,M.BREVIS,M.MENDICA,M.LAPPONICA,M.MELANOPHAE,A.MANICATUM,A.OBLONGATUM,A.FLORENTINUM,C.PORTERAE,C.OCTODENTATA,H.CARINATA,H.PRODUCTA,H.PILOSIFRONS,H.SPOLIATA,H.LEAVITTI,H.ANTHOCOPOIDES,O.ALBIVENTRIS,O.ATRIVENTRIS,O.LIGNARIA,O.CAERULESCENS,O.TERSULA,O.PUMILA,O.TAURUS,O.CONJUNCTA,O.SIMILLIMA,O.BUCEPHALA,C.RAPUNCULI,C.PHILADELPHI,C.CAMPANULARUM,H.MESILLAE,H.HYALINATUS,H.AFFINIS,H.MODESTUS,H.ANNULATUS,H.PUNCTATUS,H.COMMUNIS,H.LEPTOCEPHALUS,H.BASALIS,H.NELUMBONIS,C.SIMULANS,C.AMERICANA,C.ANDRENOIDES,P.PARVUS,P.RUDBECKIAE,P.ANDRENOIDES,P.OCTOMACULATA,M.NUDA,A.HIRTICINCTA,A.HIPPOTES,A.CRESSONII,A.NIVALIS,A.COMMODA,A.NIGRAE,A.CEANOTHI,A.CARLINI,A.CRATAGEI,A.WHEELERI,A.RUFOSIGNATA,A.MISERABILIS,A.MILWAUKIENSIS,A.VICINA,A.FRAGILIS,A.PLATYPARIA,A.BISALICIS,A.FRIGIDA*,A.PERPLEXA*,A.ZIZIEA,A.MANDIBULARIS*,A.GERANII,A.MORISONELLA,A.ERYTHROGASTER,A.DUNNINGI,A.PERSIMULATA,A.RUGOSA,A.ALLEGHANIENSIS,A.FORBESI,A.SIGMUNDI,A.NASSONI,A.SPIREANA,A.ROBERTSONI,A.WILKELLA,A.IMITATRIX,A.INTEGRA,A.ALGIDA,A.CLARKELLA,A.CHROMOTRICHA,A.ERIGENIAE*,A.WSCRIPTA,A.BREVIPALPIS,A.NUBECULA,A.DISTANS,A.ASTERIS,A.ERYTHRONII,A.SIMPLEX,A.REGULARIS,N.BETHUNEI,N.CRESSONII,N.MACULATA,N.DENTICULATA,N.VICINA,N.LUTHEOLOIDES,N.PARVA,N.PYGMAEA,S.RANUNCULI,S.DICHROUS,S.CLEMATIDIS,S.MANDIBULARIS,S.SOLONIS,S.CAROLINUS,S.CRESSONI,S.CONFERTUS,T.PECTORALIS,T.REGIMENATUS,T.OBLITERATUS,E.SCUTELARIS,H.CALLIOPSIDIS
JED,êtienne-Desmarteaux,Community garden,Montreal,5149,45.5581,-73.5782,MontrÇal,community garden,pan trap,2013,,,,37,54,,28,1,8,31,3,,2,2,,,,,,,2,1,,,,1,,,,,,,,,,,,,9,12,6,,,,28,14,8,1,1,,15,,2,9,,,,,,,,,,,,,,1,,8,,3,,1,,,1,8,,1,2,1,,,2,,1,1,,3,,2,1,,,13,,,,,,,,,,,,,,,18,,,,6,,1,,1,19,2,,,,,,,,,,,,3,1,1,6,,,,1,,,27,,,,,,,,,,,2,,,,,,1,,2,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,
JH,Hartenstein,Community garden,Montreal,567,45.5581,-73.5782,MontrÇal,community garden,pan trap,2013,,,,8,18,,,1,2,16,2,,,1,,,,,,,1,,,,,,,1,1,,,,,,,,,,3,5,1,,,,2,5,1,,,,27,,,,,2,,,,,,,,,,1,,1,,5,,1,1,1,,,,,,1,,,,,,,,,,1,,1,,,,9,,,,,,,,,,,,,,,4,,13,1,,,2,,,5,,,,,,,,2,,,,,1,,,,,,1,,,,1,,,,,,,,,,,,,,,,,,,2,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JL,Laurendeau,Community garden,Montreal,2320,45.6036,-73.5702,MontrÇal,community garden,pan trap,2013,,,,7,10,,2,,,,2,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,7,1,,,,,,,1,,,,,,,,,,,,1,,,,1,,1,,,,,,,,,,,,,2,,,,,2,,,,,,9,,,,,1,,,,,,,,,,,,,,3,,,,1,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JP,Prieur,Community garden,Montreal,4221,45.5778,-73.6489,MontrÇal,community garden,pan trap,2013,,,,22,90,1,25,3,8,46,7,,3,7,,,,,,,,,,,,,1,,,,,,,3,,,,,4,,5,,,3,14,17,49,2,4,1,139,1,1,15,,2,1,,,1,,,,,1,2,,,,8,,9,6,1,,,1,3,,,,,,,1,,,1,,1,1,,,,,12,,,,,,,1,,,,,,,,,,,1,3,3,3,,,24,,,,,,,,,,,,,4,1,3,8,,,1,4,1,,11,,2,,,,1,,,,,2,,,,,,,,8,,,2,2,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,1,,,,
JPM,Päre-Marquette,Community garden,Montreal,3180,45.5399,73.59569,MontrÇal,community garden,pan trap,2013,,,,23,91,1,4,2,7,19,2,,,,,,,,,,,,,,,,,,,,,,,1,,,,,6,,3,,,1,13,7,40,,,,72,8,14,40,,11,,2,,2,,,,,,1,,1,,23,,8,1,,,,,27,,,2,,,,11,,,1,,7,,3,,,,13,,,,,,,,,,,,,,,7,,,1,31,,1,,1,35,2,,,,,,,,,,,2,2,1,,4,,,,,,,4,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,
JR,Roseraie,Community garden,Montreal,2117,45.5923,-73.5544,MontrÇal,community garden,pan trap,2013,,,,22,32,,25,2,3,16,2,8,4,1,,1,,,,,,,,,,,,,,,,,,,,,,,3,16,1,,,3,4,11,14,11,,,22,3,1,2,,1,1,,,,,,,,,,,,,2,,2,,,,,,,,,,,,,,,,1,,,,,,,,8,,,,,,,,,,,,,,,2,3,,1,6,,4,,,22,,,,,,,,,,,,,,,,,,,,,,,24,,,,,1,,,,,,1,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JRE,Rosemont-êglantier,Community garden,Montreal,7514,45.5654,-73.5685,MontrÇal,community garden,pan trap,2013,,,,120,222,,24,1,6,13,9,3,100,1,,1,,,,,2,,,,5,,1,,,,,,,3,,,,,7,3,10,,,3,37,6,25,4,,,72,,5,18,,1,,7,1,1,1,,,,1,,1,3,,8,3,5,2,2,,,2,16,,,,,,,1,1,,,,6,1,1,,,,53,1,,,,,,,,,,,,,,5,6,,3,33,20,9,,,29,,,,,,,,,,,,,16,1,14,6,,,2,9,,,26,,,,,,,1,,,,4,,,,,,,,8,1,,,,,,,1,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,1
JS,Sherbrooke,Community garden,Montreal,960,45.4447,-73.6679,MontrÇal,community garden,pan trap,2013,,,,1,3,,2,,3,31,,8,,,,,,,,,,,,,,,,,1,,,,,,1,,,,,12,1,,,2,,5,17,2,,,23,,,2,,,,,,,,,,,,,,,29,5,,3,1,,,,,,,,,,,,,,1,,,5,,,,,,,,,,,,,,,,,,,,,,,,2,8,2,,,2,25,,,,,,,,,,,,,,,,,,,,,,,10,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JSM,Sainte-Marthe,Community garden,Montreal,3050,45.6386,-73.5981,MontrÇal,community garden,pan trap,2013,,,,16,34,,9,2,7,15,,,1,4,,,,,,,,,,,,,,,,,,,,,,,,,1,,4,,1,1,15,19,10,1,1,,55,,2,13,,,,2,,,,,,,,,3,,,7,,1,,,,,,1,,1,,,,,,,,,,,2,,,,,13,,,,,,,,,,,,,,,2,,,,,,,,,10,,,,,,,,,,,,,2,,8,1,,,1,,2,,8,,1,,,,,,,,,1,,,,,,,,5,,,1,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
PBL,Bois-de-Liesse,Nature park,Montreal,1716,45.5007,-73.7647,MontrÇal,park,pan trap,2013,,,,1,8,1,5,18,,16,,,65,,,3,,,,,,1,,,,,,,,,,1,,1,,,,,8,,,3,,3,9,3,10,7,6,1,40,,,7,1,3,2,6,,,1,1,,,1,,,,,,,97,7,5,,,,1,,,,1,,,1,,,,,1,,,,,,3,1,,,,,,,,,1,,4,,,,,1,7,,1,8,1,,2,1,,,,,,,,,,,,,,1,8,,,,,,,,,,,,,,,,,,,,,,,,,,7,,1,,,,,,2,,,,,,,,,,,,,,,1,,,1,,2,,,,,,,,,,
PIB,Boucherville island,Nature park,Montreal,3024,45.5885,-73.4854,MontrÇal,park,pan trap,2013,,,,,2,,3,10,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,2,,,,2,,1,,7,6,,,17,,3,32,,5,,5,1,,2,,,,,,34,,,1,,66,,3,,,,,,,,1,,,1,,1,,,,,,,,,5,,,,,,7,,,,,,,,,,,,13,,7,3,11,,,,,2,8,,,,,,,,,3,,,7,,,,,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,,1,,,4,,1,,,,,,,,,1,,,1,
PPPH,Pointe-aux-Prairies Heritage,Nature park,Montreal,5900,45.6815,-73.5068,MontrÇal,park,pan trap,2013,,,,,3,,3,5,,5,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,11,4,2,3,3,6,17,,24,,2,13,1,5,1,6,,,,11,2,1,3,,2,,,1,1,19,,3,,,2,4,1,,,,,1,,,1,1,,,3,1,,,,1,,1,,,2,,1,,,,,,,,,,1,6,,3,3,3,,1,,,,1,,3,,1,,,,,4,1,1,6,,,,,1,,,,,,,,,,,,,,,,,,,,,8,,,,,,,,1,,,,,,,,,,8,,1,,,,,,1,,,,,,,,,,,,
PPPM,Pointe-aux-Prairies Marais,Nature park,Montreal,9211,45.6881,-73.5237,MontrÇal,park,pan trap,2013,,,,4,17,3,9,26,,1,,,5,1,,4,,,1,,,,,2,,,,,,,,,,1,,,,,4,,4,,15,,13,,11,,8,,8,,8,11,,4,1,5,,,,2,1,3,,,1,1,2,1,1,174,17,21,,,,,,,1,2,,,2,,,2,,1,8,3,,,,21,,2,2,,8,,1,,,,,,2,,1,,,10,,3,1,3,,,,,,1,,,1,,,,,,3,,1,8,,,1,,3,,,,,,,,,,,,,,,,,,,,,1,1,,1,,,,,,,,,,,,,,,2,,,,,2,,,1,,,,,,,,3,,,1,
PV,De La Visitation,Nature park,Montreal,3500,45.5808,-73.6561,MontrÇal,park,pan trap,2013,,,,,4,,9,1,,8,2,,,,,6,,,,,,,,,,,,,,,,,,,,,,,3,1,,,,,5,2,2,3,11,,97,,2,10,,,1,2,,,,,,,,,,,1,3,,5,1,2,,,,11,,,,,,,5,,,,,,1,5,,,,2,,,,,2,1,,,,,,,,,2,,,,1,,14,,,,,,,,,,,,,,,2,2,,2,4,,,,2,,,2,,1,,,,,,,,,,,,,,,,,7,,,2,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,
CBS,Shaare Zion,Cemetery,Montreal,16483,45.5503,-73.6557,MontrÇal,cemetery,netting,2013,,,,4,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,,,,4,5,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CC,Urgel Bourgie,Cemetery,Montreal,62100,45.5095,-73.6647,MontrÇal,cemetery,netting,2013,,,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,6,2,,,,,,,14,21,,11,,2,,6,1,,2,,,,,,,,,,,,,,,1,,,,,,,1,,,,,1,,9,,,,,,,,,1,,,,,,,,,,1,,1,,,,1,,,4,,,,,,,,,,,,,4,1,4,,,,1,13,,,3,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,
CHD,Hawthorn-Dale,Cemetery,Montreal,86000,45.6838,-73.5069,MontrÇal,cemetery,netting,2013,,,,,2,,,1,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,1,5,,,,1,2,,1,2,,,,,,,,3,1,,,,,,1,,,,,,,,,,1,,,,,,,,,,,,,,1,,,,,2,,3,,,,,,,,,,,2,,2,46,12,,5,,,,,,,,,,,,,4,1,1,3,,,,,3,,1,,1,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CL,Lachine,Cemetery,Montreal,50735,45.4435,-73.684,MontrÇal,cemetery,netting,2013,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,7,,,,,,1,,1,4,,1,,2,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CLV,Lakeview,Cemetery,Montreal,147000,45.4417,-73.8373,MontrÇal,cemetery,netting,2013,,,,1,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,3,3,8,,1,2,,1,11,,94,,,1,3,,2,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,1,,,,8,,,3,,,,,,,,,,,,,,1,,,,,,5,1,,2,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CP,La PrÇsentation,Cemetery,Montreal,13005,45.4434,-73.7366,MontrÇal,cemetery,netting,2013,,,,,,,,,,2,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,1,1,2,,,2,,2,21,,4,,4,,,,,1,,,,,,,,,,,,,,,2,,,,,,,,,1,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CSG,Ste-Geneviäve,Cemetery,Montreal,44800,45.459,-73.9204,MontrÇal,cemetery,netting,2013,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,1,2,,,,,25,7,,1,,4,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CSL,St-Laurent,Cemetery,Montreal,16182,45.5155,-73.6714,MontrÇal,cemetery,netting,2013,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,2,,,,,,,,,,,,,2,,1,2,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
