Taxa,Species,Frequency Percent,Red List,Native Status,Habitat,Territories
Plants,Linaria vulgaris,.,*,.,,
Plants,Lolium perenne,.,*,.,,
Plants,Lonicera tatarica,.,*,N,,
Plants,Lonicera xylosteum,.,*,.,,
Plants,Lotus pedunculatus,.,*,.,,
Plants,Luzula campestris,.,*,.,,
Plants,Luzula luzuloides,.,*,N,,
Plants,Luzula multi?ora,.,*,.,,
Plants,Lychnis ?os-cuculi,.,3,.,,
Plants,Lysimachia nummularia,10,*,.,,
Plants,Lysimachia vulgaris,3,*,.,,
Plants,Mahonia aquifolium,37,*,N,,
Plants,Matricaria discoidea,.,*,N,,
Plants,Matteuccia struthiopteris,.,*,N,,
Plants,Medicago lupulina,3,*,.,,
Plants,Medicago varia s. l.,.,*,N,,
Plants,Melica nutans,.,V,.,,
Plants,Melilotus albus,.,*,.,,
Plants,Moehringia trinervia,3,*,.,,
Plants,Muscari armeniacum,.,*,N,,
Plants,Mycelis muralis,7,*,.,,
Plants,Myosotis arvensis,.,*,.,,
Plants,Myosotis ramosissima,7,*,.,,
Plants,Myosotis sylvatica s. l.,3,*,N,,
Plants,Narcissus pseudonarcissus,.,*,N,,
Plants,Oenothera biennis s. l.,.,*,N,,
Plants,Oenothera pycnocarpa,.,*,N,,
Plants,Ornithogalum umbellatum s. l.,.,*,N,,
Plants,Oxalis dillenii,.,*,N,,
Plants,Oxalis stricta,7,*,N,,
Plants,Papaver dubium subsp. dubium,.,*,.,,
Plants,Parietaria pensylvanica,.,*,N,,
Plants,Parthenocissus quinquefolia,.,*,N,,
Plants,Parthenocissus tricuspidata,.,*,N,,
Plants,Persicaria maculosa,.,*,.,,
Plants,Phedimus spurius,3,*,N,,
Plants,Philadelphus coronarius,.,*,N,,
Plants,Phleum pratense,3,*,.,,
Plants,Picea abies,.,*,N,,
Plants,Picris hieracioides,.,*,.,,
Plants,Pinus sylvestris,3,*,.,,
Plants,Plantago lanceolata,.,*,.,,
Plants,Plantago major,.,*,.,,
Plants,Poa angustifolia,.,*,.,,
Plants,Poa annua,7,*,.,,
Plants,Poa compressa,3,*,.,,
Plants,Poa humilis,.,*,.,,
Plants,Poa nemoralis,27,*,.,,
Plants,Poa palustris,3,*,.,,
Plants,Poa pratensis,3,*,.,,
Plants,Poa trivialis subsp. trivialis,.,*,.,,
Plants,Polygonatum x hybridum,3,*,N,,
Plants,Polygonum aviculare,.,*,.,,
