WetBasin,BwooSrc,BwooSnk,BwooMate,RcatSrc,RcatSnk,Rcatmate,PcruSrc,PcruSnk,PcruMate,HverSnk,RclaSnk,RpalSnk,RutrSnk,DrainRes,DrainCom,,EmergCov,undev500X,DistFor_m,im,mg,mw,ug,uw,SizeAc,Alg,AvgCond,AVGTemp,AVG pH,,Size m^2
Fraz,1,0,1,1,0,1,0,1,1,0,0,0,0,1,0,,21,16.19208102,0,44,24,1,19,12,0.34668885,0,102,24.05,7.365,,1403
Freehld,1,0,1,1,0,1,0,1,1,0,0,0,0,1,0,,2,15.29064376,0,0,0,0,20,80,0.933317026,0,100,25.3,8.49,,3777
LacMal,1,0,1,1,0,1,0,0,0,0,0,0,0,0,1,,49,7.290863915,2.029968,31,27,0,3,39,1.215758477,0,122,22.26666667,7.074,,4920
Lowe,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,,0,10.19770723,34.987992,33,0,0,53,14,0.938012028,0,105,24.1,7.14,,3796
LRidgeL,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,,0,5.016687632,8.695944,22,55,2,0,21,3.715970727,1,165,22.8,7.322,,15038
LRidgeS,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,,0,20.73698373,10.9728,12,70,10,0,8,0.746752463,1,147,22.06666667,7.436,,3022
Naut72,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,,32,8.41417135,0,26,13,7,25,30,3.022345921,0,327,19.6,6.26,,12231
Ocean,1,0,1,1,0,1,0,0,0,0,0,0,0,0,1,,0,8.865951797,7.251192,17,0,0,49,34,0.213746155,0,77,25.63333333,7.316,,865
PerrNo,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,,1,5.117650574,144.56664,13,86,1,0,0,5.130896141,0,112,25.23333333,7.914,,20764
PerrSo,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,,0,14.40157051,173.239176,50,50,0,0,0,2.956121678,0,95,23.43333333,7.93,,11963
Rav,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,,26,19.14081024,0,42,0,15,2,40,0.193236408,0,40,21.63333333,5.71,,782
SilKil,1,0,1,0,0,0,0,1,1,1,0,1,1,1,0,,0,21.389947,0,0,0,0,49,51,2.260767135,0,63,27.73333333,7.044,,9149
SRHS,1,0,1,1,0,1,0,1,1,0,1,0,0,0,1,,0,72.02524266,0,9,0,0,15,76,3.081157002,0,434,21.86666667,7.342,,12469
StBar,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,,1,17.74937978,9.43356,34,18,0,0,48,0.15888876,0,66,21.6,6.458,,643
WHillE,1,0,1,1,0,1,0,1,1,0,0,0,0,0,1,,100,23.24659778,49.155096,58,37,5,0,0,0.062023451,0,49,19.96666667,5.96,,251
WHillW,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,,100,23.07058062,18.751296,58,33,6,0,3,0.057822659,0,30,20.13333333,5.908,,234
,,,,,,,,,,,,,Total,25,11,MIN,0,5.016687632,0,0,0,0,0,0,0.057822659,7,29,19.6,5.71,0,234
,,,,,,,,,,,,,,,,MAX,100,72.02524266,323.846952,62,86,34,59,93,5.130896141,,434,27.73333333,8.782,0,20764
